run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U
0,0.30000000000000004,29.73016812051819,29,1,[0],1.0251782110523566,0.006340802279374882,3.4024654981893137,0.16427543006684064,0.34681568040273736,4.764542519466564e-06,1.1560411507432455,27.72454004397441,-0.49807865647691174,-0.02531232236993746,0.32290796664020843
1,0.30000000000000004,29.7262979592977,29,1,[1],1.0250447572171768,0.006266763898806426,3.402193408293374,0.1649529357262528,0.35075500680274335,0.0006852951498798604,1.1675843339927579,27.81989124951287,-0.4980946405316048,-0.025792686391237187,0.3228764873654515
2,0.30000000000000004,29.716772512637423,29,1,[2],1.0247162935392256,0.0064163762254848995,3.400749433937953,0.15274703439963874,0.3608354342882639,5.2382713437968355e-06,1.202772558327744,27.773744928866364,-0.4979175742140389,-0.025007947949389753,0.32231483785136783
3,0.30000000000000004,29.715605380411784,29,1,[3],1.024676047600418,0.0064143858139864805,3.4006199251020908,0.15275550731369889,0.36200396450043865,8.862290319506243e-06,1.2066592029907164,27.77646422500691,-0.49791857597713457,-0.025019749824059537,0.32231656187072916
4,0.30000000000000004,29.715605513805958,29,1,[4],1.0246760522002152,0.006414385125138961,3.4006199420420593,0.1527555110274129,0.36200383168430234,8.862571090900538e-06,1.2066587596151288,27.77646747738739,-0.4979185766809984,-0.025019752491773923,0.32231654132691334
5,0.30000000000000004,29.705409098415057,29,1,[5],1.0243244516695007,0.0064117174740281595,3.399454164792269,0.1466227507627182,0.3724441260774916,0.00020318299091534318,1.2410063266128362,27.87162587619761,-0.49778897537367783,-0.024963199133736826,0.32181099849282885
6,0.30000000000000004,29.4101074896755,29,1,[6],1.014141637575024,0.006394951572432808,3.3655505715810703,0.02306911147247037,0.6677624098432967,0.00016099788457389844,2.225499037746983,31.534746228983195,-0.4978772287612259,-0.02509247853068316,0.3220557001336154
7,0.30000000000000004,29.051764380998186,29,1,[7],1.001784978655119,0.00837332040360327,3.3197455145753216,0.0,1.0319533942525312,1.6316775193614114e-05,3.4398065750329856,31.1106378436933,-0.49788389226030283,-0.025238276099840855,0.32805842935875146
8,0.30000000000000004,29.280620881559773,29,1,[8],1.0096765821227633,0.008222520972545229,3.346402724806605,0.0,0.8014783053889106,0.0001545875094690841,2.671233647107607,31.26123410198015,-0.49789849233024963,-0.025399849391775288,0.3277715293763628
9,0.30000000000000004,29.280633109614275,29,1,[9],1.0096770037798162,0.00822252036637045,3.3464041317445226,0.0,0.8014660748031993,0.00015454822369016463,2.6711929701553867,31.261235184430895,-0.49789848929221076,-0.02539985486931426,0.3277714996072379
