run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U,rdmd_params/V
0,0.30000000000000004,24.75131072531042,29,1,[0],0.8555256966323698,0.0030650438568557968,2.8446005531085685,0.15740312218407523,0.27733647737876943,0.0017767483506966832,0.9203091784442725,26.677470553452306,-0.519387875132101,-0.0239966631098862,0.33202473616908124,0.023235432096267498
1,0.30000000000000004,24.767779979952394,29,1,[1],0.8552592216986137,0.004230459103934567,2.840993001086198,0.1485294666001775,0.265075111040163,0.002548854700810902,0.8776363758319844,26.05982463521441,-0.5183982738713669,-0.02173873817224406,0.32831395506845323,0.023037181209008252
2,0.30000000000000004,24.571839892601663,29,1,[2],0.8485339892086311,0.0030154331361415742,2.82141062004444,0.14840340165566623,0.4855877725963733,0.0007930422336899519,1.6167754767759677,27.60044025560436,-0.5191100259653568,-0.02508207985458298,0.3276237977597876,0.02280139537348102
3,0.30000000000000004,24.556554455542102,29,1,[3],0.8470848370993452,0.0031899871879073937,2.816172820226033,0.1509254756756804,0.48534887182297176,8.981926561059023e-05,1.6176199944568141,27.701134571003223,-0.5205821059700979,-0.023212793382489463,0.3332752480350744,0.023076872936422885
4,0.30000000000000004,24.62084564979911,29,1,[4],0.849867289897971,0.005800625050254555,2.8193561745426425,0.14089306156618084,0.49138976656853045,0.006533795901545557,1.622720364791495,25.27226733995733,-0.5155839932967073,-0.02572409511222882,0.3292272021024363,0.021976122583081507
5,0.30000000000000004,24.658935755699506,29,1,[5],0.8515830541428581,0.002954811665714564,2.8317156199228593,0.1430689905433029,0.3657667748146391,0.0015521193362909274,1.2156009709307847,26.926876451928088,-0.5215661320049383,-0.023971760615280092,0.33711614633050174,0.02501066590908169
6,0.30000000000000004,24.47277940966287,29,1,[6],0.844299256693431,0.004731130768695904,2.8032915505178124,0.018717826915700408,0.5533796737138562,0.004689120485215726,1.8336576312473505,31.748375395050445,-0.5226960206422783,-0.019771158896906935,0.340414406386337,0.02357391710653284
7,0.30000000000000004,24.13482679034874,29,1,[7],0.8327651549655274,0.0032357951349181974,2.768333661236948,0.013354612298348282,0.7996663692376487,0.008490671455625126,2.645742997395703,30.986324793980426,-0.521778171346336,-0.02362463958761824,0.3429154762901655,0.024096292355576525
8,0.30000000000000004,24.33240961167119,29,1,[8],0.8393795756851985,0.006357910154560606,2.7830967952566863,0.011938460995183357,0.6067665113015175,0.005918606975259314,2.008744954729453,29.205453264311522,-0.5206238975718077,-0.01858595482916414,0.3300769743947384,0.02565030554443262
9,0.30000000000000004,24.33994297052668,29,1,[9],0.8403528213987985,0.0036065392830204046,2.79276081300228,0.009597852256609859,0.6067282152603728,0.0003728792732801532,2.0215573325635887,30.186986695611925,-0.5181059649186796,-0.024511208350201888,0.32941610782218317,0.022878510066429665
