run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U,rdmd_params/J
0,0.30000000000000004,23.29926726124303,29,1,[0],0.8034801134728644,0.006289545397032655,2.663591438983138,0.15612855472431567,0.27143176512378675,0.0003474341087580802,0.9039618708255202,26.524872245388266,-0.5019820995691008,-0.024146076347166093,0.3125422698883159,-0.006263537280103819
1,0.30000000000000004,23.309516344757753,29,1,[1],0.8055299542510718,0.007980220350153699,2.6664793333532133,0.14588890940857835,0.2659860107507837,0.00476338709852301,0.8755054659393919,25.408796644308485,-0.4998121609104776,-0.024562767598396974,0.30873753935886283,-0.006175993000990495
2,0.30000000000000004,23.241657362430832,29,1,[2],0.8021381500071674,0.007860000542877306,2.655453832090511,0.14489206056977064,0.28486208023739623,0.0075608263806737,0.9318983392364153,26.098258053897055,-0.500416177809659,-0.023485331946903956,0.31755535605768226,-0.004981098820998116
3,0.30000000000000004,23.20649215850225,29,1,[3],0.8020234290675943,0.006077988204755137,2.6592294577475517,0.15281214007414184,0.2802040030422529,0.001254673734733249,0.9310857714264653,28.371058038343996,-0.5005654065418296,-0.024894637397624358,0.31826255033715295,-0.0026331933772766156
4,0.30000000000000004,23.212455734633462,29,1,[4],0.8013347308449696,0.006868738801933206,2.655088712278721,0.14546190712305948,0.28456911741536484,0.007490725989651967,0.9310853640753615,26.68180100346492,-0.5021526475778786,-0.024683014188950962,0.31388288513006063,-0.00672877113061049
5,0.30000000000000004,23.17584144011268,29,1,[5],0.7997715401857086,0.006605799676215115,2.6504916013745263,0.14844025003801709,0.3053150660580694,0.0017581955701429434,1.0136144305298975,27.28140797024098,-0.5006198687468995,-0.02490715664382335,0.31654016321681255,-0.004188716390551808
6,0.30000000000000004,23.047179587563335,29,1,[6],0.7957758368291205,0.0061500597322185395,2.638235983388558,0.025643092174528533,0.5150871018755544,0.0032618892598950252,1.7093459313120927,32.95546970118939,-0.5024330528491809,-0.026475934528930396,0.3239818588488949,-0.0030331878707164426
7,0.30000000000000004,22.76059071092714,29,1,[7],0.7848861034548233,0.0078790477435064,2.597902566781229,0.008795847827169908,0.8013292908934616,0.0003952814478074022,2.670175312933321,30.701199052429637,-0.5019052528530608,-0.02327407982914417,0.31068526318440837,-0.006036487392328363
8,0.30000000000000004,22.906976550739184,29,1,[8],0.7907066046009352,0.006352280063574018,2.6208666951881114,0.017365914817235432,0.6265794501522796,0.0019645064241490913,2.08401431885125,32.11386022495045,-0.5011615334292914,-0.02765769223484886,0.3194664397778715,-0.0036837649270292675
9,0.30000000000000004,22.91625955165985,29,1,[9],0.7908775132853757,0.00678798564449538,2.620419744447429,0.017133684578247984,0.6201009243458941,0.0015652457663542316,2.063350841031487,31.627860535529795,-0.49995052264868356,-0.025855955302857024,0.3133613114467747,-0.003331743855687405
10,0.30000000000000004,22.784283410545385,29,1,[10],0.7870977886537736,0.008096576369897883,2.604767283982816,0.006978888222637844,0.7709244814829352,0.001087498825411795,2.5672107743504893,29.655888246499607,-0.4999722264165244,-0.02345533585342248,0.3204551171366997,-0.004330408512017782
11,0.30000000000000004,22.7820496717805,29,1,[11],0.7855437904399571,0.007166855130553994,2.601756639495231,0.007563115520585871,0.7733611463151572,0.003776722595628933,2.569058134994056,31.168732477203733,-0.5049647942599174,-0.026177851353191634,0.3277061527933202,-0.007240178810217308
12,0.30000000000000004,22.815617796818977,29,1,[12],0.7881385060169463,0.006902091859439902,2.6110234723844608,0.00740129298375005,0.7273492461103489,0.00619219471559792,2.410049032698101,31.4925616369289,-0.5031402877730426,-0.024291701622603423,0.3303773461547759,-0.004485359279427985
13,0.30000000000000004,22.82633713386267,29,1,[13],0.7887850629915588,0.005998088048309083,2.615288004525808,0.008352335459027511,0.712310681672601,0.0069058427188804184,2.3582553058979485,32.65875931449291,-0.5018974795314096,-0.02635893389686672,0.3158113694382072,-0.004317151927400266
14,0.30000000000000004,22.830520454178657,29,1,[14],0.7888029366281245,0.007080894273792323,2.6128210354548993,0.007135965265974227,0.7158642851721594,0.01181685147831801,2.3586416304577886,31.107109244054953,-0.5018539530478346,-0.022577743784471145,0.31823921509402625,-0.004922845817918185
15,0.30000000000000004,22.782479265578527,29,1,[15],0.7859897411816542,0.008440240537057863,2.6002719093523785,0.0009504470163547023,0.7465715522797481,0.008747411238039054,2.468161214710402,31.09709505457217,-0.5006963183664264,-0.026438635186778664,0.30780953777969167,-0.005755504506639062
16,0.30000000000000004,22.725571266621884,29,1,[16],0.7841661892580408,0.006991834326632915,2.5975730174313254,0.0033509103550869853,0.8396918691139186,0.019646818037703993,2.7531303216250858,29.67713710827408,-0.5010423556673355,-0.025351793756305942,0.3151776865481736,-0.006626991779584337
17,0.30000000000000004,22.760489776257415,29,1,[17],0.7856413406463656,0.00924763581249225,2.5972266519254026,0.00035057274688191054,0.7690286487031497,0.007277305801830877,2.5464484488062267,32.87988083458464,-0.5157799864113299,-0.026736873384759316,0.3223899257615649,-0.017283206649353927
18,0.30000000000000004,22.66624659710144,29,1,[18],0.7820582155962442,0.008449269105865671,2.5871457574071273,0.0006047552607444888,0.8620873049334474,0.007857211111320029,2.8552908571850777,31.503242617675973,-0.5041209191800652,-0.026960045407994557,0.3204942131963686,-0.007396177898966581
19,0.30000000000000004,22.495270420594842,29,1,[19],0.7772798457164345,0.00921788969504957,2.569424409766332,0.00021385316290844814,1.0686708810535543,0.005674844968153461,3.548994965252822,29.764915393570043,-0.49975076894719,-0.026666673658920562,0.3064676902504198,-0.006502043268838922
20,0.30000000000000004,22.466945317459395,29,1,[20],0.7778266102194106,0.008854818337518137,2.5720941246104925,0.00046079090608173583,1.067692249895763,0.0026883633071228103,3.55270131860259,31.37403136925931,-0.5003691128535,-0.02522977782469294,0.31351989673979763,-0.004205403959154653
21,0.30000000000000004,22.104998326646687,29,1,[21],0.7639736810427682,0.0068825338430944785,2.5305196911753396,0.004437776781190909,1.430600083441501,0.0018450898736791777,4.764361735099751,30.981386883285232,-0.501360732063839,-0.02272913308686702,0.3180405649314713,-0.004619269544420858
22,0.30000000000000004,22.67511047742944,29,1,[22],0.7822840756822739,0.007670544780594171,2.5897156477861927,0.0008761700646117205,0.8355379859238248,0.03432544104286443,2.7050339239793986,32.17160593838055,-0.500955814400282,-0.025551433191517467,0.3235730899152091,-0.002842452409191906
23,0.30000000000000004,22.723695573808836,29,1,[23],0.7841480183495655,0.007838361883765927,2.595537216769764,0.0008370618695890781,0.8051810312725991,0.0368059566951761,2.5980562052865857,31.028251236779926,-0.5005418494019294,-0.026374280029952978,0.3113291035228635,-0.005254583943835392
24,0.30000000000000004,22.482926715505748,29,1,[24],0.7771033551124712,0.006665931845847023,2.5747906760679276,0.0003662487975245298,0.9957245109680993,0.004624842197568561,3.308290404766004,32.76575508539456,-0.5039676290338498,-0.02573728476909711,0.3246002054758635,-0.005298184738593144
25,0.30000000000000004,22.498138224185794,29,1,[25],0.7748113437092059,0.0063874214713185795,2.5678004955976093,0.0006375256400131782,1.0034997151545126,0.0016302718557547576,3.341195082851614,31.769016656804023,-0.5003524191025552,-0.027335527485615567,0.31816281426624365,-0.0038490770290658984
26,0.30000000000000004,22.39130142886574,29,1,[26],0.7731284083135473,0.007049984991810902,2.5606447293975987,0.00019843810799934176,1.1038680077981369,0.001840929104572626,3.675264524749786,30.92309448841612,-0.49995838853607516,-0.0273406242533357,0.31190051361283394,-0.005108311560740963
27,0.30000000000000004,22.4025615615965,29,1,[27],0.7738278104932191,0.0068968650041747095,2.563333349967656,0.0005967227602096121,1.101189104318297,0.0016264418306336,3.666835316789511,30.828677133727673,-0.49874201502841814,-0.027407405171712067,0.3117038840891942,-0.004034468322728787
28,0.30000000000000004,22.543702941276276,29,1,[28],0.7778436152855502,0.0051247623958612185,2.5808542720281578,0.0013021718323501937,0.9522349321372837,0.023360679673369394,3.1196081878864166,31.6606443918677,-0.5007180379322839,-0.023593175592560356,0.31577692514673217,-0.0038194048719802547
29,0.30000000000000004,21.97059612783328,29,1,[29],0.7584042292349954,0.005922564034023368,2.5141947813705965,2.123095657603594e-05,1.5465790202312253,0.026189182126834288,5.09415530914147,31.415573627850648,-0.5019165924345103,-0.024696548335429773,0.3198827842306545,-0.0050340854207227325
