,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.30994196944516084,1.1489058464914272,1.1489058464914272,-12.220780688738106,-10.422682142122294,-3.1525764499552458,-3.3634399789589224,9.056299137380977,0.5206745046083041,1.0882683631417196
1,3.0,1,0.3099419694451615,1.148905846986193,1.148905846986193,-12.22078071137995,-10.842637738394789,-3.1525764732397388,2.0051913450444045,9.056299230495952,8.141434852789478,1.0882683620410118
2,3.0,2,0.30994196944528923,1.1489058665811247,1.1489058665811247,-12.220780453711496,-14.055011401389695,-3.1525761051078254,-1.566938128334738,9.056299211633261,3.7989655474189172,1.0882683439586196
3,3.0,3,0.30994196944516184,1.1489058501684528,1.1489058501684528,-12.220780749958486,-10.461142709155972,-3.1525764569008716,0.23269634114455595,9.056299352245155,7.309311864606336,1.088268358245223
4,3.0,4,0.3099419694454053,1.1489058700883765,1.1489058700883765,-12.22078031661472,-14.8436705651955,-3.1525759781266376,-0.217490732647045,9.056299032742261,5.712129247736436,1.0882683419308878
5,3.0,5,0.30994196944521324,1.1489057962484361,1.1489057962484361,-12.22078032677805,-10.424719126974978,-3.1525769004417716,1.709522441495083,9.056297768183622,3.869665058905299,1.0882684192658099
6,3.0,6,0.3099419694451682,1.148905835959135,1.148905835959135,-12.220780668368285,-10.866916192823442,-3.152576540132697,-0.22366069653883613,9.056298838132582,10.950701762120906,1.0882683749909767
7,3.0,7,0.30994196944516056,1.1489058479576828,1.1489058479576828,-12.220780710729823,-14.303693704170541,-3.152576457505397,-1.8481731118152513,9.056299236793468,11.356721828976095,1.088268361094667
8,3.0,8,0.30994196944517355,1.1489058225966993,1.1489058225966993,-12.22078046459416,-14.691676545613989,-3.1525766138952735,-2.0571395770227143,9.056298341710173,10.938809239412093,1.088268390827791
9,3.0,9,0.3099419694451621,1.1489058420577518,1.1489058420577518,-12.22078066018322,-13.90474088427964,-3.1525764776189944,-1.3996735801212594,9.056298981828906,2.914532340128833,1.0882683683333436
10,3.0,10,0.30994196944516106,1.14890584654112,1.14890584654112,-12.220780713080494,-13.957289298889997,-3.1525764753648278,1.2516785279635485,9.05629921300826,7.452363129459869,1.0882683625750547
11,3.0,11,0.30994196944516117,1.1489058493418953,1.1489058493418953,-12.220780714031378,-13.248061693200814,-3.152576434800628,2.862082586185685,9.056299244944505,8.133174732080116,1.0882683597519573
12,3.0,12,0.30994196944516483,1.1489058360585127,1.1489058360585127,-12.220780620182916,-13.56593239820896,-3.1525765906259813,-2.2021574760363274,9.056298988451648,3.2112684548505355,1.088268373864054
13,3.0,13,0.30994196944518415,1.1489058722887413,1.1489058722887413,-12.220781004736207,-11.239780743014293,-3.152576357977549,2.4689182263891203,9.056300240619755,11.11921180002227,1.088268331570779
14,3.0,14,0.3099419694452763,1.1489058694764582,1.1489058694764582,-12.22078052286042,-11.599746836677445,-3.1525761421887837,3.083980352274426,9.056299471633821,7.639064773682655,1.0882683394779307
15,3.0,15,0.30994196944564345,1.148905876673084,1.148905876673084,-12.220780132833132,-13.823717509601352,-3.152575793663396,-2.528074429523868,9.056298851823982,5.777051310721316,1.088268337057767
16,3.0,16,0.3099419694451614,1.1489058493392132,1.1489058493392132,-12.220780718128994,-14.083153679879885,-3.152576448830362,-3.5873624123664403,9.056299285105025,11.025175290948876,1.0882683594780607
17,3.0,17,0.3099419694452267,1.1489058663005984,1.1489058663005984,-12.220781122091054,-14.657708423723255,-3.1525765952803204,3.863213487643592,9.056300604880779,3.5493492910455333,1.0882683346302338
18,3.0,18,0.3099419694452717,1.1489059030606639,1.1489059030606639,-12.220781384648367,-10.86450239592061,-3.152576223545698,-2.177097366412041,9.056301485581374,11.807045328669421,1.0882682944011604
19,3.0,19,0.3099419694451614,1.1489058445298714,1.1489058445298714,-12.22078066760483,-14.994175847579994,-3.15257646704203,2.0619423260796212,9.056299082487202,9.680060791550005,1.088268365342769
