,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.0007463458135083165,6.747761796041037,6.747761796041037,-12.277384096451913,-13.16669764746424,-2.545474409363801,-0.1249638070337662,7.092764361622683,4.640575210097504,7.165966160291083
1,3.0,1,0.0007463458135083308,6.747761836842541,6.747761836842541,-12.277384076459757,-13.959131061200326,-2.545474420710534,3.1426314226950547,7.092764144362587,4.889140692560959,7.165966207002862
2,3.0,2,0.0007463458135082919,6.747761818789069,6.747761818789069,-12.277384063051382,-14.461890757000248,-2.545474415648123,-1.7843533794125488,7.0927641406634825,7.138394666095913,7.165966188924502
3,3.0,3,0.0007463458135082984,6.747761779443277,6.747761779443277,-12.277384072922903,-11.788743670096656,-2.5454744246217764,-3.940307700505099,7.092764331336229,9.422647309280645,7.1659661489916076
4,3.0,4,0.0007463458135082918,6.747761763851513,6.747761763851513,-12.277384082583735,-14.140816539450762,-2.5454744425556894,-2.7501310271980426,7.092764449524481,2.790521695244285,7.165966135393611
5,3.0,5,0.0007463458135086822,6.747761915332701,6.747761915332701,-12.277384182267026,-14.45051373969434,-2.545474231547592,-3.539935137420316,7.092764125954076,3.6823274597933713,7.165966237493169
6,3.0,6,0.0007463458135082948,6.747761814006188,6.747761814006188,-12.2773840818531,-14.073465667006797,-2.545474399065289,2.3120144112052285,7.092764222046454,10.924381858485733,7.1659661784529165
7,3.0,7,0.0007463458135085166,6.7477616808624985,6.7477616808624985,-12.277384059988641,-10.38934060410288,-2.545474449562035,3.235380015531197,7.092764643057501,6.851066776105656,7.16596605383347
8,3.0,8,0.0007463458135083037,6.747761774565478,6.747761774565478,-12.277384073367985,-11.04749398671468,-2.5454744285613344,2.4089579951534557,7.0927643547965715,11.436549266799243,7.165966144701727
9,3.0,9,0.038627080305046246,13.458729130728335,13.458729130728335,-13.557896593319848,-12.849397002965308,-3.72994264310817,-0.07588664745547469,9.213636336919029,5.877956399253074,13.865611621409274
10,3.0,10,0.000746345813508308,6.7477618287365955,6.7477618287365955,-12.277384103288725,-10.223543465655691,-2.5454743955790464,-0.5002888396838658,7.092764263194452,4.232890680828133,7.165966190442949
11,3.0,11,0.0007463458135083017,6.747761836960729,6.747761836960729,-12.27738409248263,-11.79215457806016,-2.545474374087535,0.674808966909529,7.092764161147722,6.409206727869403,7.165966195857313
12,3.0,12,0.0007463458135083023,6.747761786665997,6.747761786665997,-12.277384097176874,-14.367960027696139,-2.5454744160188003,-1.1671433578459673,7.092764405053547,6.607843487606138,7.1659661518764635
13,3.0,13,0.0007463458135083021,6.747761835082462,6.747761835082462,-12.277384090391724,-10.468013385627478,-2.5454744076359166,-2.804282239185852,7.092764197583015,7.9848096055591355,7.165966200925253
14,3.0,14,0.0386270803050462,13.458729120089654,13.458729120089654,-13.557896553120486,-10.898523664195992,-3.7299426817176142,0.8673229576127941,9.213636156753394,8.988980885943935,13.865611612748776
15,3.0,15,0.0007463458135083485,6.7477618932377705,6.7477618932377705,-12.277384099428444,-12.506661890912028,-2.5454743484181197,-3.2083210144901937,7.092763967831466,4.235823024779261,7.1659662479276465
16,3.0,16,0.0007463458135088108,6.747761910233643,6.747761910233643,-12.277384052830799,-13.477062926720961,-2.5454744682706925,0.43622181856515496,7.092763840684169,3.6643905754624364,7.165966295056919
17,3.0,17,0.0007463458135082742,6.747761797335743,6.747761797335743,-12.277384072377009,-13.52287602246751,-2.545474421282396,-0.5604821690261703,7.092764263176864,9.46115682941479,7.165966166840028
18,3.0,18,0.0007463458135083045,6.747761806172399,6.747761806172399,-12.277384074194122,-13.871610750094408,-2.545474404306581,0.63045735546262,7.0927642209060835,7.2080133848399015,7.165966172322329
19,3.0,19,0.0007463458135085135,6.747761854546227,6.747761854546227,-12.277384016840555,-13.745397106927346,-2.5454744535581875,2.315024284410539,7.092763854405142,7.822815155002545,7.165966238847766
