,casci_index,irrep,total_energy,total_energy_error,excitation_energy,excitation_energy_error,spin_squared,c_3_value,sigma_v_value,D_eps_a1,D_eps_a1_error,D_eps_e,D_eps_e_error,D_eps_e_prime,D_eps_e_prime_error,D_t_e,D_t_e_error,D_J_SO5,D_J_SO5_error,D_J_e_a1,D_J_e_a1_error,D_J_e_e_prime,D_J_e_e_prime_error,D_J_e_prime_a1,D_J_e_prime_a1_error,D_U_SO5,D_U_SO5_error,D_U_a1,D_U_a1_error,D_U_e,D_U_e_error,D_U_e_prime,D_U_e_prime_error,D_V_e_a1,D_V_e_a1_error,D_V_e_e_prime,D_V_e_e_prime_error,D_V_e_prime_a1,D_V_e_prime_a1_error,D_pair_hopping_e_a1,D_pair_hopping_e_a1_error,D_pair_hopping_e_e_prime,D_pair_hopping_e_e_prime_error,D_pair_hopping_e_prime_a1,D_pair_hopping_e_prime_a1_error,eigenstate
0,2,$^{4}E$,-8547.709514822685,0.03500150377678757,2.346249576122217,0.03500150377678757,3.648711338265631,-0.27910537273643077,0.29716166065039135,0.9211306455628503,0.0018618902260486847,2.069854506303262,0.00040689677370432187,1.9731308941953438,0.003007715047794153,0.02396784456158335,0.0010876875872697308,3.238454283428629,0.13779977414968453,0.44465090666173135,0.023700027357755286,0.9798894516130434,0.010912166633808172,0.9840602021469522,0.07567277930434009,12.724133698541728,0.12048234998211686,0.5688533588509002,0.02124377306000575,1.7345974189179956,0.0052683974909088745,1.7896809106016263,0.04050641662962226,1.8103132690667467,0.022595706676038437,2.7337673090772103,0.010820226350732893,1.8471252848739472,0.10334119356223476,-0.22114406670952363,0.027349966343694954,-0.1149307380928713,0.015720091515100013,-0.025791581736117442,0.09113951525844831,6
0,28,$^{2}E$,-8547.67583277519,0.08954025725573202,2.3799316236173955,0.08954025725573202,0.6470084892062324,-0.08235248036838332,-0.2994266765041102,0.5248903138976106,0.004420606342340125,2.6372907097261864,0.0006943273622105268,1.7986173930587874,0.007201259166582969,1.6728820529182484,0.002869036546595779,4.768437321932682,0.19989953097702906,1.5045305277426817,0.013243106540002995,2.0439366356144637,0.011626300898560572,0.7374216060977503,0.10340327189996074,12.745688511329558,0.1872646450926385,0.37454084730401693,0.07523927736026607,2.926146293555555,0.00406265875949887,1.7294557736566434,0.0840810659598686,1.17035680555203,0.007005345629679479,2.9724425021912326,0.010832667596117914,0.9103067372420142,0.12664660991603077,-0.502502638183241,0.013787855009992977,-0.026899707775681646,0.01798652451774532,0.03711411280258141,0.10057229975516609,7
0,27,$^{2}E$,-8547.67583277519,0.08954025725573202,2.3799316236173955,0.08954025725573202,1.023287059222394,-0.2785851493849055,0.2993007800385793,0.5248903138976106,0.004420606342340125,2.6372907097261864,0.0006943273622105268,1.7986173930587874,0.007201259166582969,1.6728820529182484,0.002869036546595779,4.768437321932682,0.19989953097702906,1.5045305277426817,0.013243106540002995,2.0439366356144637,0.011626300898560572,0.7374216060977503,0.10340327189996074,12.745688511329558,0.1872646450926385,0.37454084730401693,0.07523927736026607,2.926146293555555,0.00406265875949887,1.7294557736566434,0.0840810659598686,1.17035680555203,0.007005345629679479,2.9724425021912326,0.010832667596117914,0.9103067372420142,0.12664660991603077,-0.502502638183241,0.013787855009992977,-0.026899707775681646,0.01798652451774532,0.03711411280258141,0.10057229975516609,8
0,16,$^{2}A_{2}$,-8547.532059234392,0.10914741350744155,2.5237051644154502,0.10914741350744155,0.950941186238925,0.5584504070809808,-0.2991156804185104,0.6321075493120807,0.005943193972597577,2.5051516404209684,0.001438841882002982,1.8224060814767264,0.00991157374066884,1.1211773702518835,0.0028109908642493823,4.780880390407873,0.2628391556362043,1.6640941149810695,0.024128976794332145,1.2923222138241108,0.012546063110577266,1.4804808856064386,0.15925907599970646,12.35162137974789,0.2045119989395344,0.2526265114406441,0.04082367282194655,2.7004720129646875,0.001695678100630277,1.7068134049914643,0.13010646070507673,1.4516495098962774,0.009238316742338847,3.0421260476295844,0.017945513340634996,1.1256631399880226,0.14235743172333215,-0.13813765041172654,0.024453368381335973,-0.11408849928781435,0.02497533286387874,0.12138829752465646,0.1284947768971669,9
0,11,$^{4}E$,-8547.505345618682,0.08114956499136124,2.5504187801266007,0.08114956499136124,3.3721715095932776,-0.27881748851760607,0.29925192273052714,0.8535599357067782,0.005091629380895018,2.374977351497277,0.0006791353363771415,1.7255076383618773,0.007270825004595132,0.5864521918684598,0.0026533262164852387,4.035219398890454,0.18230067988455026,0.8830590100933948,0.02534912029899328,1.0971210508170335,0.008785815677807066,0.8098501636187942,0.11154019498667408,12.771883858164694,0.15861551978518054,0.6144202036090292,0.023250314262976777,2.3387444356605354,0.0023521563655262753,1.453535512262591,0.08065234913043381,1.9572675339216534,0.023351374008208057,2.607712883710299,0.012467601240159576,1.3237657198731398,0.11250069212156975,-0.12084164192066525,0.022096011707618695,-0.095242719442933,0.01647151446491559,-0.3343102845523114,0.10232297656415357,10
0,12,$^{4}E$,-8547.505345618682,0.08114956499136124,2.5504187801266007,0.08114956499136124,3.6007777549214204,-0.2804008551697826,-0.299621584263832,0.8535599357067782,0.005091629380895018,2.374977351497277,0.0006791353363771415,1.7255076383618773,0.007270825004595132,0.5864521918684598,0.0026533262164852387,4.035219398890454,0.18230067988455026,0.8830590100933948,0.02534912029899328,1.0971210508170335,0.008785815677807066,0.8098501636187942,0.11154019498667408,12.771883858164694,0.15861551978518054,0.6144202036090292,0.023250314262976777,2.3387444356605354,0.0023521563655262753,1.453535512262591,0.08065234913043381,1.9572675339216534,0.023351374008208057,2.607712883710299,0.012467601240159576,1.3237657198731398,0.11250069212156975,-0.12084164192066525,0.022096011707618695,-0.095242719442933,0.01647151446491559,-0.3343102845523114,0.10232297656415357,11
0,30,$^{2}A_{1}$,-8547.482178299979,0.12134168806097169,2.57358609882915,0.12134168806097169,-0.9250483662706124,0.5584351629111023,0.29934008029806186,0.9762036197045624,0.006570593378916848,1.9828326967133636,0.0010582892707271688,2.0064615997913444,0.01008503523522892,1.9203523266910665,0.0029693693869824755,7.677153018990781,1.7630581181152365,1.5778911203592807,0.020577944166731935,3.749028917951912,0.024304677098395542,1.0312202315892998,0.29605695215961436,13.328303398106495,1.556325896681692,0.5795707506977051,0.020765671829859077,2.4660046797845405,0.004613857881395259,1.9683047718410982,1.458812945633502,1.361742933446977,0.011891665789386415,3.68031087090311,0.02670006857434862,1.7444752015677907,0.572333948394921,0.29653225368810027,0.01376947658602292,0.985093456035474,0.06426957200598987,0.12069368457783408,0.3528399740880784,12
0,9,$^{4}E$,-8547.409647752245,0.030866761180036492,2.6461166465623323,0.030866761180036492,3.7653448030731003,-0.2787304136598533,0.29920148150948117,1.0904010523698375,0.0012874029617118002,1.978609712674459,0.00032437619368465894,1.8947589247483263,0.0023611500727788092,0.07931880276099038,0.0009490311535100039,3.3628743542167516,0.07438669879140153,0.9158642141248003,0.004439361945896898,0.6937077491120579,0.0065574960669068415,0.9451717520970009,0.03795157609841658,12.377658185459694,0.06285183880363109,0.8687529358198345,0.009302962771364397,1.6405711705470432,0.0008276274999519814,1.5592667719040558,0.03680181667270707,1.9568612376472192,0.006144240178905925,2.50847527700323,0.004861864719065555,1.6912970385925257,0.039171266649203666,-0.21102379795696746,0.01344475948521476,-0.006799774448347155,0.01158954054148892,-0.325784151064735,0.04459054266808127,13
0,8,$^{4}E$,-8547.409647752245,0.030866761180036492,2.6461166465623323,0.030866761180036492,3.698783931052038,-0.2791975847740191,-0.29918141654392966,1.0904010523698375,0.0012874029617118002,1.978609712674459,0.00032437619368465894,1.8947589247483263,0.0023611500727788092,0.07931880276099038,0.0009490311535100039,3.3628743542167516,0.07438669879140153,0.9158642141248003,0.004439361945896898,0.6937077491120579,0.0065574960669068415,0.9451717520970009,0.03795157609841658,12.377658185459694,0.06285183880363109,0.8687529358198345,0.009302962771364397,1.6405711705470432,0.0008276274999519814,1.5592667719040558,0.03680181667270707,1.9568612376472192,0.006144240178905925,2.50847527700323,0.004861864719065555,1.6912970385925257,0.039171266649203666,-0.21102379795696746,0.01344475948521476,-0.006799774448347155,0.01158954054148892,-0.325784151064735,0.04459054266808127,14
0,10,$^{4}A_{1}$,-8547.372771600605,0.1410532681217624,2.682992798203569,0.1410532681217624,4.074501442636109,0.5580039964251564,0.29932550832782984,0.9972826213680203,0.0057823042873543775,2.0631229597414125,0.0009093689536123547,1.9162986584748043,0.010346004575977653,0.958830956948965,0.0037577203646446317,4.134303086169628,0.30067442649904624,0.04487192882434825,0.029980139630208322,1.8571623965882034,0.028536262319059376,1.7613240658026783,0.16112355419646665,12.707780749200195,0.2784536083091133,0.5449463446057841,0.01806425961803459,1.518247374568484,0.01208779483974082,1.2467705718125215,0.185782029243984,2.1953877284363674,0.014414195123619022,2.5807273299315043,0.02296627135364666,1.8341704361278257,0.1427577926112144,0.12026089484440378,0.03945029224496962,0.11442689123985636,0.04635732541572214,0.040609626577742516,0.11408505171482959,15
