,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.0004918972235196952,7.874478065809872,7.874478065809872,-12.335828905875147,-13.23844993351448,-2.4116543232959207,-3.6235744105476098,6.62856856849672,1.9097757232982153,8.01030050073032
1,3.0,1,0.07037219444642417,23.134732810723264,23.134732810723264,-16.04396832072671,-12.490522201929672,3.8290799104136983,1.473044773230189,7.862491757530963,1.2859141535015297,23.122961723546158
2,3.0,2,0.0004591743970219796,6.555668604027304,6.555668604027304,-12.3271334252736,-14.455461348610111,-2.5407266358272866,-2.6250834947547705,7.569575468377708,0.5122255319810489,6.657315562874539
3,3.0,3,0.014687581836231098,13.66978079529961,13.66978079529961,-13.411736027172461,-10.490242089250748,-3.4427757644360124,1.167306765754403,7.913010538951221,11.383679434364138,13.708675972711031
4,3.0,4,0.07037219444642429,23.134732844045807,23.134732844045807,-16.043968214416864,-12.680965655460806,3.829079959322429,2.0806634183487924,7.862491233504795,10.391398542413755,23.122961754216217
5,3.0,5,0.0004918972235196982,7.874478071924718,7.874478071924718,-12.335828901932796,-11.963860756774428,-2.4116543275582027,-3.063945840574509,6.6285685406435535,2.8503282121365587,8.010300503238735
6,3.0,6,0.014687581836230356,13.669780963481863,13.669780963481863,-13.411735984361826,-12.279777046787983,-3.442776113428837,1.624074192772106,7.913011177202129,10.53314793587386,13.708676151042491
7,3.0,7,0.07036610200155298,23.042521611422515,23.042521611422515,-16.152987041071427,-13.585379621382323,3.7417214117085194,2.836104098709563,8.427342045062503,5.760956991530772,23.029158126161978
8,3.0,8,0.0004918972235197056,7.8744780841819475,7.8744780841819475,-12.335828899879903,-10.808534623200806,-2.4116543171936664,-2.2101697010424264,6.628568479726963,8.810361551174685,8.010300511643521
9,3.0,9,0.014687581836230434,13.66978124576575,13.66978124576575,-13.411736207704433,-14.970519963883548,-3.442776166909552,-1.778137809499567,7.913012169077577,9.054954884414006,13.708676397661927
10,3.0,10,0.07037219444646232,23.134733956610663,23.134733956610663,-16.043966082334137,-10.223658359471923,3.829081138989184,2.1320569001465843,7.862480328716716,1.5330125786652578,23.122962809958317
11,3.0,11,0.0068358011184600515,10.503483923999518,10.503483923999518,-12.211892671469885,-13.379623961408175,-2.8730756289276074,-3.860713739033173,4.421067993047137,2.043367261859331,10.57660613598414
12,3.0,12,0.010583310698353722,12.108283432396554,12.108283432396554,-12.260790505340267,-14.2283507055734,-3.521071951494675,1.3782491010868458,4.179160104009905,7.355288080695216,12.30207320254466
13,3.0,13,0.0004918972235196996,7.874478085739069,7.874478085739069,-12.335828893418928,-13.362274942160694,-2.4116543143742573,-0.41878953440419675,6.628568443127049,10.547609796334557,8.010300510289278
14,3.0,14,0.0004918972235197753,7.874478003155919,7.874478003155919,-12.335828923858399,-10.500839723841533,-2.4116543457318538,-1.1868239767396505,6.628568863298126,4.486087242034472,8.010300462432106
15,3.0,15,0.000468734074579286,6.778506125960611,6.778506125960611,-12.332077174629276,-13.392496863330187,-2.5137751276735254,-0.6119581224631219,7.404925847857489,0.8831220820106234,6.997221157957343
16,3.0,16,0.014687581836230453,13.669781063764407,13.669781063764407,-13.411736089610098,-14.343401737469966,-3.4427760951517623,-2.03754593704922,7.9130115814021815,7.954655659272617,13.70867623262202
17,3.0,17,0.012142440963878877,12.744895553288998,12.744895553288998,-10.039674465056882,-10.27699564936333,-3.5006504470270405,0.7421335861398459,-5.120647187296213,5.277653025933304,12.769776974201273
18,3.0,18,0.010583310698353691,12.108283483149174,12.108283483149174,-12.260790530074988,-14.818752065684812,-3.5210719719840804,-3.3811621351435175,4.179160147655664,10.876940423308866,12.3020732546481
19,3.0,19,0.00046873407457758597,6.77850617648398,6.77850617648398,-12.332077425846041,-12.865761675924947,-2.5137747782502413,-3.6776708035354515,7.4049262079509255,10.88326119143128,6.997221191604096
