,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,1.299134072598875,1.2347189453426857,1.2347189453426857,-12.473429099169152,-14.301869269428941,2.8769985815700654,0.21729850341914858,10.066892799719072,2.6453193414599587,1.1546550803149507
1,3.0,1,1.2991340725988745,1.2347189404569583,1.2347189404569583,-12.473429053459265,-12.401023928163216,2.8769985527439976,2.1499036236910065,10.066892646070844,10.768351010604807,1.1546550769697546
2,3.0,2,0.3062008069978234,1.1655499290385898,1.1655499290385898,-10.787363113794902,-10.219429728349066,-3.980431171253152,-0.7916670404206183,3.322628806200652,0.8395289882632246,1.1537484968796927
3,3.0,3,1.2991340725988745,1.2347189333176933,1.2347189333176933,-12.473429055354046,-11.26393450998354,2.8769985739319988,3.7163975649776626,10.06689264308043,10.834363616070547,1.15465507025865
4,3.0,4,1.299134072598875,1.2347189120804953,1.2347189120804953,-12.47342903484215,-12.445850137642392,2.8769986024223813,0.554175247910532,10.066892513334365,4.221660393002976,1.1546550512895777
5,3.0,5,0.21802970541332697,1.1358572640559368,1.1358572640559368,-12.187463157976765,-14.116611463107535,-3.1852578892598524,-0.6905592329787584,8.923028558309136,8.945936994531062,1.0948558585299801
6,3.0,6,1.299134072599092,1.2347193279247453,1.2347193279247453,-12.473429198855776,-13.80118030052698,2.8769976773938453,1.258168525168955,10.066893769147772,2.2971730321440105,1.1546554332938823
7,3.0,7,1.2991340725988847,1.2347190322018748,1.2347190322018748,-12.473429110123288,-11.317917973778057,2.876998350453547,0.9071623062215792,10.066892929405542,0.3743011362437638,1.1546551611971536
8,3.0,8,0.2848818460234605,1.2119182305663871,1.2119182305663871,-11.535884577936937,-13.486570548743355,-3.6621287962702254,-0.362235343744409,6.3167147127391905,5.612439100555412,1.1915860092285333
9,3.0,9,0.21802970541330022,1.1358572663538697,1.1358572663538697,-12.187463089217747,-13.026264581740953,-3.1852578226808976,-1.914650485493552,8.92302874628413,9.332367136718094,1.094855844919594
10,3.0,10,0.3062008069978229,1.1655499266051912,1.1655499266051912,-10.787363074192607,-14.387033733528769,-3.980431190572698,-2.090122271174317,3.322628669535871,4.048862089755028,1.153748498517646
11,3.0,11,0.3062008069978316,1.1655499250598806,1.1655499250598806,-10.787363113888427,-12.086698612235693,-3.980431214235416,-3.0816281820886706,3.322628592256964,3.3050783284839147,1.1537484995239196
12,3.0,12,0.3062008069978261,1.1655499279821715,1.1655499279821715,-10.787363067481673,-13.23340766350002,-3.98043110273578,-0.35345686671177834,3.3226286826738978,0.232848003814222,1.153748497819977
13,3.0,13,1.2991340725988751,1.2347189441872215,1.2347189441872215,-12.473429101624898,-12.068187692275252,2.8769985657075563,3.957644864711229,10.066892731731533,7.031468244539612,1.1546550797842652
14,3.0,14,0.21802970541329975,1.1358572671343035,1.1358572671343035,-12.18746312288549,-13.651144080375717,-3.185257838600767,-2.8969117814356222,8.923028918060584,4.5220507513970105,1.094855839792137
15,3.0,15,0.2180297054133007,1.1358572639548636,1.1358572639548636,-12.187463061075064,-10.828208012954784,-3.185257900183769,-1.1235350083793971,8.923028572455944,10.752883207641919,1.0948558590230302
16,3.0,16,1.2991340725988743,1.234718943838707,1.234718943838707,-12.473429061962063,-11.49292015245025,2.876998555095751,3.8405484987198966,10.066892690834662,5.984368230965824,1.1546550797919872
17,3.0,17,1.2991340725988763,1.2347189671221566,1.2347189671221566,-12.473429137502055,-13.202033676644277,2.8769985571335766,3.5555418736621975,10.066892949508508,11.998262559094309,1.1546550996307081
18,3.0,18,0.3062008069978242,1.1655499291791098,1.1655499291791098,-10.787363119936677,-13.57290966808652,-3.9804311704706965,-2.0666687129305066,3.32262881437048,2.2479438484627416,1.1537484967841178
19,3.0,19,0.21802970541329925,1.1358572665056725,1.1358572665056725,-12.18746310226175,-11.490538823786297,-3.185257834655322,-2.6516839640375522,8.92302880456697,9.348308055212945,1.0948558438058067
