,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
146,4.8,0.3,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.246380309,0.002445555,0.210114675,-13.31870602,-0.554316197,9.331094656,,,,,,,,,0.430152551,,
147,4.8,0.4,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.212691956,0.002165733,0.21036039,-13.31965784,-0.549433261,9.317033155,,,,,,,,,0.425720514,,
148,4.8,0.6,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.248827344,0.000716386,0.219744138,-13.32188323,-0.657829617,9.422360897,,,,,,,,,0.120756114,,
149,4.8,0.8,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.221425663,0.002248048,0.194978615,-13.32055192,-0.606774202,9.314033648,,,,,,,,,0.325985822,,
150,4.8,1,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.259100686,0.000630326,0.202328727,-13.32215379,-0.65791759,9.430995253,,,,,,,,,0.092307501,,
151,3.2,0.05,"trace,t_1-doccp,ring_ijkl",0.334156853,0.007499553,0.400174242,-13.2111869,-2.227893158,9.166132527,,,,,,,,,,0.059553839,
152,3.2,0.1,"trace,t_1-doccp,ring_ijkl",0.271463283,0.012066248,0.375240135,-13.13103101,-2.34824417,9.028708342,,,,,,,,,,0.077091981,
153,3.2,0.125,"trace,t_1-doccp,ring_ijkl",0.277868623,0.012757627,0.375357605,-13.13271511,-2.341544752,9.016600824,,,,,,,,,,0.070444676,
154,3.2,0.15,"trace,t_1-doccp,ring_ijkl",0.278012846,0.012999431,0.37547916,-13.13454818,-2.334414435,9.003495607,,,,,,,,,,0.063660554,
155,3.2,0.2,"trace,t_1-doccp,ring_ijkl",0.420759187,0.009801664,0.481421937,-13.28496025,-2.02829312,9.200755218,,,,,,,,,,-0.187987427,
156,3.2,0.3,"trace,t_1-doccp,ring_ijkl",0.290836943,0.010410029,0.382045053,-13.15832349,-2.255207549,8.890276457,,,,,,,,,,-0.010681931,
157,3.2,0.4,"trace,t_1-doccp,ring_ijkl",0.301953731,0.008352035,0.385506658,-13.16568976,-2.230928386,8.816207615,,,,,,,,,,-0.021475541,
158,3.2,0.6,"trace,t_1-doccp,ring_ijkl",0.342964204,0.005818399,0.385750045,-13.17689679,-2.198925506,8.742050305,,,,,,,,,,-0.038695208,
159,3.2,0.8,"trace,t_1-doccp,ring_ijkl",0.374791938,0.004185688,0.478061368,-13.2569262,-2.098013519,9.239729401,,,,,,,,,,-0.147331351,
160,3.2,1,"trace,t_1-doccp,ring_ijkl",0.375068696,0.002922451,0.52017719,-13.23763683,-2.095714332,8.857989103,,,,,,,,,,-0.120364297,
161,4,0.05,"trace,t_1-doccp,ring_ijkl",0.239773052,0.006690416,0.141496266,-13.33158309,-1.213874125,9.10704413,,,,,,,,,,0.130804375,
162,4,0.1,"trace,t_1-doccp,ring_ijkl",0.241641011,0.009105955,0.141078186,-13.32877561,-1.22670043,9.131105105,,,,,,,,,,0.131645628,
163,4,0.2,"trace,t_1-doccp,ring_ijkl",0.229945276,0.008105739,0.163667119,-13.31729722,-1.291682862,9.254135006,,,,,,,,,,0.641525349,
164,4.8,0.05,"trace,t_1-doccp,ring_ijkl",0.245845889,0.002306458,0.186509543,-13.32951216,-0.595708715,9.27020767,,,,,,,,,,0.325189046,
165,4.8,0.1,"trace,t_1-doccp,ring_ijkl",0.243020083,0.003127841,0.186350871,-13.32845846,-0.603513843,9.286310535,,,,,,,,,,0.328661129,
166,4.8,0.125,"trace,t_1-doccp,ring_ijkl",0.248882644,0.003226875,0.186283522,-13.32795776,-0.607185305,9.293854123,,,,,,,,,,0.330200048,
167,4.8,0.15,"trace,t_1-doccp,ring_ijkl",0.247802438,0.003202305,0.186225043,-13.32748528,-0.610631273,9.300908843,,,,,,,,,,0.331564899,
168,4.8,0.2,"trace,t_1-doccp,ring_ijkl",0.233760228,0.002947941,0.186135318,-13.32664631,-0.616718679,9.313279323,,,,,,,,,,0.33368166,
169,4.8,0.3,"trace,t_1-doccp,ring_ijkl",0.226181613,0.002299657,0.186061907,-13.32542773,-0.625595255,9.330818125,,,,,,,,,,0.335142472,
170,4.8,0.4,"trace,t_1-doccp,ring_ijkl",0.227357382,0.001977563,0.189601553,-13.32468722,-0.631318163,9.341006116,,,,,,,,,,0.332426686,
171,4.8,0.6,"trace,t_1-doccp,ring_ijkl",0.236679152,0.001752423,0.197696045,-13.32377112,-0.639940219,9.352917719,,,,,,,,,,0.314107731,
172,4.8,0.8,"trace,t_1-doccp,ring_ijkl",0.239006231,0.001163111,0.197866121,-13.32294754,-0.648976673,9.364688382,,,,,,,,,,0.279643909,
173,4.8,1,"trace,t_1-doccp,ring_ijkl",0.289650517,0.000633252,0.185540992,-13.32295975,-0.650425616,9.454579572,,,,,,,,,,0.010085328,
174,3.2,0.05,"trace,t_1-doccp,ring_ijlk",0.322718677,0.007199138,0.402450159,-13.23302891,-2.12793011,9.103520932,,,,,,,,,,,-0.109137858
175,3.2,0.1,"trace,t_1-doccp,ring_ijlk",0.310153378,0.012136336,0.383803567,-13.1341089,-2.34051127,9.014342804,,,,,,,,,,,0.079298534
176,3.2,0.125,"trace,t_1-doccp,ring_ijlk",0.322036896,0.010782798,0.402399975,-13.23196061,-2.136853625,9.128409447,,,,,,,,,,,-0.106393273
177,3.2,0.15,"trace,t_1-doccp,ring_ijlk",0.321823642,0.01105578,0.402382898,-13.23153782,-2.139561201,9.135499807,,,,,,,,,,,-0.105453831
178,3.2,0.2,"trace,t_1-doccp,ring_ijlk",0.32134876,0.011008222,0.402346261,-13.23057611,-2.144673058,9.147970014,,,,,,,,,,,-0.103532419
179,3.2,0.3,"trace,t_1-doccp,ring_ijlk",0.319882544,0.010107801,0.402252439,-13.22807206,-2.154147225,9.166172462,,,,,,,,,,,-0.099409612
180,3.2,0.4,"trace,t_1-doccp,ring_ijlk",0.297907114,0.008540653,0.381664213,-13.15585124,-2.259476972,8.830652129,,,,,,,,,,,0.010129127
181,3.2,0.6,"trace,t_1-doccp,ring_ijlk",0.310112786,0.0064573,0.381508287,-13.15739897,-2.245714522,8.754014545,,,,,,,,,,,0.004456213
182,3.2,0.8,"trace,t_1-doccp,ring_ijlk",0.309042331,0.005227047,0.38156075,-13.15397212,-2.246065972,8.738691734,,,,,,,,,,,0.001633927
183,3.2,1,"trace,t_1-doccp,ring_ijlk",0.663062997,0.004101726,0.400263175,-13.1481843,-2.248799064,8.715972397,,,,,,,,,,,0.000298138
184,4,0.05,"trace,t_1-doccp,ring_ijlk",0.248937565,0.006318299,0.122731814,-13.29803146,-1.367536965,9.31691942,,,,,,,,,,,0.399479219
185,4,0.1,"trace,t_1-doccp,ring_ijlk",0.264388204,0.009456331,0.140384655,-13.32676427,-1.229285922,9.136885507,,,,,,,,,,,0.107398979
186,4,0.2,"trace,t_1-doccp,ring_ijlk",0.246706049,0.008793515,0.121438284,-13.33421921,-1.189403195,9.132724537,,,,,,,,,,,-0.005930765
187,4.8,0.05,"trace,t_1-doccp,ring_ijlk",0.240944213,0.002854672,0.19266532,-13.31741568,-0.685436266,9.428455107,,,,,,,,,,,0.312189084
188,4.8,0.1,"trace,t_1-doccp,ring_ijlk",0.230159679,0.00385706,0.192935094,-13.3187378,-0.676850016,9.410616586,,,,,,,,,,,0.305061483
189,4.8,0.125,"trace,t_1-doccp,ring_ijlk",0.227645245,0.003961669,0.193055579,-13.31928869,-0.673264806,9.403092508,,,,,,,,,,,0.302018145
190,4.8,0.15,"trace,t_1-doccp,ring_ijlk",0.247559902,0.003905572,0.193165636,-13.31977115,-0.670123155,9.396445543,,,,,,,,,,,0.299307465
191,4.8,0.2,"trace,t_1-doccp,ring_ijlk",0.246460069,0.003513145,0.193354685,-13.32055201,-0.665038567,9.385523896,,,,,,,,,,,0.294799778
192,4.8,0.3,"trace,t_1-doccp,ring_ijlk",0.232376025,0.002403961,0.193619126,-13.32154333,-0.658595323,9.371053644,,,,,,,,,,,0.288778356
193,4.8,0.4,"trace,t_1-doccp,ring_ijlk",0.226084878,0.001499145,0.182372924,-13.32204135,-0.655463241,9.363179382,,,,,,,,,,,0.284240585
194,4.8,0.6,"trace,t_1-doccp,ring_ijlk",0.221297198,0.000711326,0.19360677,-13.3224769,-0.652140186,9.352339627,,,,,,,,,,,0.286930912
195,4.8,0.8,"trace,t_1-doccp,ring_ijlk",0.200666431,0.000563823,0.192968906,-13.32271179,-0.649636255,9.341775868,,,,,,,,,,,0.295464781
196,4.8,1,"trace,t_1-doccp,ring_ijlk",0.188463378,0.000583743,0.192560374,-13.32283395,-0.648116369,9.332622087,,,,,,,,,,,0.300745534
197,3.2,0.05,"trace-doccp,density_hopNN",0.44177612,0.010764328,0.426233929,-13.09803621,,12.29981369,,,,,,-2.699559517,,,,,
198,3.2,0.1,"trace-doccp,density_hopNN",0.443598352,0.015099746,0.42657567,-13.10165838,,12.2323538,,,,,,-2.679759344,,,,,
199,3.2,0.2,"trace-doccp,density_hopNN",0.449226163,0.015852855,0.427255551,-13.10593096,,12.16975593,,,,,,-2.656244926,,,,,
200,4,0.05,"trace-doccp,density_hopNN",0.323540226,0.009198166,0.171928836,-13.27734775,,11.07054042,,,,,,-1.491995241,,,,,
201,4,0.1,"trace-doccp,density_hopNN",0.350593311,0.013826389,0.173293849,-13.28344051,,11.00774339,,,,,,-1.465585659,,,,,
202,4,0.2,"trace-doccp,density_hopNN",0.361164272,0.015952964,0.177127473,-13.2938582,,10.93389248,,,,,,-1.423610108,,,,,
203,4.8,0.05,"trace-doccp,density_hopNN",0.216731455,0.004106527,0.200388656,-13.30152787,,10.49782495,,,,,,-0.809913559,,,,,
204,4.8,0.1,"trace-doccp,density_hopNN",0.215937754,0.006099391,0.201176024,-13.30564149,,10.42761809,,,,,,-0.783811005,,,,,
205,4.8,0.2,"trace-doccp,density_hopNN",0.212831261,0.006726926,0.202773927,-13.31188196,,10.33259769,,,,,,-0.743942933,,,,,
206,3.2,0.05,"trace-doccp,hopNN_hopNN_ijik",1.296423348,0.052685645,1.666342621,-13.82058866,,10.42024718,,,,,,,,-2.904400413,,,
207,3.2,0.1,"trace-doccp,hopNN_hopNN_ijik",1.3121129,0.088625034,1.664042916,-13.85098731,,10.68266627,,,,,,,,-2.971121109,,,
208,3.2,0.2,"trace-doccp,hopNN_hopNN_ijik",1.380697035,0.13431378,1.684806053,-13.91693752,,11.26452105,,,,,,,,-3.11611858,,,
209,4,0.05,"trace-doccp,hopNN_hopNN_ijik",0.52164629,0.02249592,1.314567455,-13.5143259,,9.200534995,,,,,,,,-1.717424555,,,
210,4,0.1,"trace-doccp,hopNN_hopNN_ijik",0.522174654,0.040343261,1.317649337,-13.51869168,,9.269338098,,,,,,,,-1.744713045,,,
211,4,0.2,"trace-doccp,hopNN_hopNN_ijik",0.526769152,0.068754076,1.327741813,-13.52717986,,9.388409744,,,,,,,,-1.790297083,,,
212,4.8,0.05,"trace-doccp,hopNN_hopNN_ijik",0.287320055,0.007081899,0.932531706,-13.37609471,,8.730047942,,,,,,,,0.565597331,,,
213,4.8,0.1,"trace-doccp,hopNN_hopNN_ijik",0.321695567,0.012908009,0.838467266,-13.37641672,,8.744957959,,,,,,,,0.57353117,,,
214,4.8,0.2,"trace-doccp,hopNN_hopNN_ijik",0.283435243,0.023513103,0.867707743,-13.37706561,,8.781464027,,,,,,,,-0.592897643,,,
215,3.2,0.05,"trace-doccp,hopNN_hopNN_ijjk",0.583894906,0.021368027,1.673172122,-13.02491886,,8.052199828,,,,,,,,,-2.439590448,,
216,3.2,0.1,"trace-doccp,hopNN_hopNN_ijjk",0.586253128,0.034284333,1.672834775,-13.06407629,,8.071774781,,,,,,,,,-2.374440878,,
217,3.2,0.2,"trace-doccp,hopNN_hopNN_ijjk",0.602537515,0.052130497,1.6728253,-13.02454333,,7.760889069,,,,,,,,,-2.381824227,,
218,4,0.05,"trace-doccp,hopNN_hopNN_ijjk",0.276523761,0.007166328,1.28328251,-13.35778318,,8.862089022,,,,,,,,,1.099141839,,
219,4,0.1,"trace-doccp,hopNN_hopNN_ijjk",0.277203097,0.010575367,1.283060933,-13.35289317,,8.906482157,,,,,,,,,1.122417917,,
220,4,0.2,"trace-doccp,hopNN_hopNN_ijjk",0.299480664,0.012216312,1.28283203,-13.34452173,,8.976840555,,,,,,,,,1.159965518,,
221,4.8,0.05,"trace-doccp,hopNN_hopNN_ijjk",0.261962849,0.003674643,0.814689572,-13.3488094,,8.972699485,,,,,,,,,0.451380998,,
222,4.8,0.1,"trace-doccp,hopNN_hopNN_ijjk",0.294312099,0.006203739,0.814634567,-13.34600721,,9.028803545,,,,,,,,,0.476979186,,
223,4.8,0.2,"trace-doccp,hopNN_hopNN_ijjk",0.261807256,0.008296318,0.819516919,-13.33896431,,9.155442136,,,,,,,,,0.535533996,,
224,3.2,0.05,"trace-doccp,ring_ijkl",0.690916797,0.024178084,1.678322901,-13.57175856,,9.815578968,,,,,,,,,,-2.121682746,
225,3.2,0.1,"trace-doccp,ring_ijkl",0.693773873,0.035550276,1.681375624,-13.58015858,,9.844415271,,,,,,,,,,-2.106893051,
226,3.2,0.2,"trace-doccp,ring_ijkl",0.702632503,0.040938976,1.683992673,-13.5974484,,9.953643156,,,,,,,,,,-2.083591686,
227,4,0.05,"trace-doccp,ring_ijkl",0.401060534,0.014012177,1.302369583,-13.47234183,,8.656627878,,,,,,,,,,0.940591053,
228,4,0.1,"trace-doccp,ring_ijkl",0.395678567,0.023577158,1.300899357,-13.47207704,,8.725292174,,,,,,,,,,0.966306984,
229,4,0.2,"trace-doccp,ring_ijkl",0.389237003,0.034737525,1.303715638,-13.4708582,,8.861394503,,,,,,,,,,1.017606435,
230,4.8,0.05,"trace-doccp,ring_ijkl",0.277462516,0.005202429,0.843199208,-13.36920454,,8.715710872,,,,,,,,,,0.381857798,
231,4.8,0.1,"trace-doccp,ring_ijkl",0.278521949,0.009275619,0.846510994,-13.36879272,,8.754505175,,,,,,,,,,0.399951533,
232,4.8,0.2,"trace-doccp,ring_ijkl",0.227226618,0.015093065,0.846934199,-13.36697713,,8.882621225,,,,,,,,,,0.45784414,
233,3.2,0.05,"trace-doccp,ring_ijlk",0.758367434,0.029331546,1.70567445,-13.28473621,,9.063985989,,,,,,,,,,,-2.426922563
234,3.2,0.1,"trace-doccp,ring_ijlk",0.756366635,0.048857056,1.706204193,-13.2892444,,9.027302978,,,,,,,,,,,-2.400118722
235,3.2,0.2,"trace-doccp,ring_ijlk",0.775162781,0.073842932,1.711304129,-13.31254843,,9.040706095,,,,,,,,,,,-2.336433847
236,4,0.05,"trace-doccp,ring_ijlk",0.383753163,0.014840956,1.27825841,-13.47410081,,8.737291036,,,,,,,,,,,-0.886369309
237,4,0.1,"trace-doccp,ring_ijlk",0.390155209,0.024608305,1.284259939,-13.47413212,,8.824040426,,,,,,,,,,,-0.912877094
238,4,0.2,"trace-doccp,ring_ijlk",0.404754056,0.035947008,1.280914946,-13.47352738,,8.993705735,,,,,,,,,,,-0.963541443
239,4.8,0.05,"trace-doccp,ring_ijlk",0.325004843,0.006089561,0.810714391,-13.36928312,,8.75633695,,,,,,,,,,,-0.371356369
240,4.8,0.1,"trace-doccp,ring_ijlk",0.237533935,0.009699784,0.83350073,-13.3514161,,9.41803216,,,,,,,,,,,0.795005783
241,4.8,0.2,"trace-doccp,ring_ijlk",0.291409321,0.01560993,0.813701319,-13.36713292,,8.941000087,,,,,,,,,,,-0.445670917
242,3.2,0.05,trace_sisj_doccp,0.873385088,0.029704647,1.445951721,-13.67530705,,8.176788867,,,2.031527638,,,,,,,,
243,3.2,0.1,trace_sisj_doccp,0.922607826,0.042621052,1.455479335,-13.67194296,,8.2345322,,,2.001537066,,,,,,,,
244,3.2,0.125,trace_sisj_doccp,0.948115088,0.045086992,1.463391992,-13.67076022,,8.262663708,,,1.9857764,,,,,,,,
245,3.2,0.15,trace_sisj_doccp,0.973193944,0.045723321,1.450484161,-13.6699259,,8.288907856,,,1.969801361,,,,,,,,
246,3.2,0.2,trace_sisj_doccp,1.019157997,0.043386461,1.462034225,-13.6691867,,8.333892585,,,1.938718363,,,,,,,,
247,3.2,0.3,trace_sisj_doccp,1.08558862,0.033395731,1.457347029,-13.67019468,,8.394178497,,,1.887828413,,,,,,,,
248,3.2,0.4,trace_sisj_doccp,1.120732475,0.025388593,1.479433809,-13.67207329,,8.426923967,,,1.858020672,,,,,,,,
249,3.2,0.6,trace_sisj_doccp,1.159960192,0.020121704,1.479597318,-13.67062604,,8.478769102,,,1.853861247,,,,,,,,
250,3.2,0.8,trace_sisj_doccp,1.163561023,0.017832678,1.461460772,-13.66272254,,8.470903553,,,1.880949626,,,,,,,,
251,3.2,1,trace_sisj_doccp,1.163568522,0.014807916,1.446624684,-13.65073973,,8.43744288,,,1.917029793,,,,,,,,
252,3.2,2,trace_sisj_doccp,2.889005704,0.001536538,1.525699216,-13.53322886,,8.710902141,,,2.894989391,,,,,,,,
253,3.2,4,trace_sisj_doccp,2.97363915,1.52E-05,1.542315982,-13.4598744,,8.479954575,,,3.104167901,,,,,,,,
254,3.6,0.05,trace_sisj_doccp,0.739126973,0.026843724,1.258016701,-13.55211107,,7.705398312,,,1.348805879,,,,,,,,
255,3.6,0.1,trace_sisj_doccp,0.761843594,0.040540781,1.24327191,-13.55159436,,7.73141225,,,1.314175564,,,,,,,,
256,3.6,0.125,trace_sisj_doccp,0.77626092,0.044069941,1.269102493,-13.55160572,,7.746254887,,,1.297041609,,,,,,,,
257,3.6,0.15,trace_sisj_doccp,0.793237705,0.045972702,1.270590316,-13.55178184,,7.761370402,,,1.280212376,,,,,,,,
258,3.6,0.2,trace_sisj_doccp,0.823049289,0.046200925,1.270426711,-13.55258149,,7.790229765,,,1.247858177,,,,,,,,
259,3.6,0.3,trace_sisj_doccp,0.87401816,0.038955254,1.258412992,-13.55537365,,7.835774928,,,1.192001208,,,,,,,,
260,3.6,0.4,trace_sisj_doccp,0.908087978,0.029249382,1.273563543,-13.55870307,,7.864541017,,,1.150873648,,,,,,,,
261,3.6,0.6,trace_sisj_doccp,0.946115993,0.016500015,1.282328691,-13.56400865,,7.902400991,,,1.106571294,,,,,,,,
262,3.6,0.8,trace_sisj_doccp,0.967816323,0.013267448,1.248807841,-13.56663597,,7.923675256,,,1.091405074,,,,,,,,
263,3.6,1,trace_sisj_doccp,0.972057937,0.013153653,1.271954979,-13.56723739,,7.930081071,,,1.088836628,,,,,,,,
264,3.6,2,trace_sisj_doccp,1.957084131,0.008367213,1.337083223,-13.55137694,,8.244634695,,,1.496613326,,,,,,,,
265,3.6,4,trace_sisj_doccp,1.982617682,0.000407455,1.322789026,-13.51397511,,8.135733852,,,1.612101338,,,,,,,,
266,4,0.05,trace_sisj_doccp,0.545423404,0.018888158,1.129508229,-13.47117969,,7.770812277,,,0.791068905,,,,,,,,
267,4,0.1,trace_sisj_doccp,0.585362602,0.028463773,1.127196569,-13.47194228,,7.794692901,,,0.759934277,,,,,,,,
268,4,0.125,trace_sisj_doccp,0.591752504,0.03085743,1.14386894,-13.47240182,,7.807819205,,,0.745327164,,,,,,,,
269,4,0.15,trace_sisj_doccp,0.610413449,0.032067645,1.15420875,-13.4729066,,7.821014251,,,0.731398385,,,,,,,,
270,4,0.2,trace_sisj_doccp,0.629296932,0.031884231,1.143024804,-13.47400724,,7.846115432,,,0.705938414,,,,,,,,
271,4,0.3,trace_sisj_doccp,0.685699843,0.025986966,1.128081817,-13.47624474,,7.885397686,,,0.665762482,,,,,,,,
272,4,0.4,trace_sisj_doccp,0.723528262,0.018521971,1.128472192,-13.47813442,,7.909173613,,,0.639271771,,,,,,,,
273,4,0.6,trace_sisj_doccp,0.749759938,0.008783097,1.135179106,-13.48048404,,7.932029842,,,0.613740558,,,,,,,,
274,4,0.8,trace_sisj_doccp,0.759275354,0.006162804,1.153208894,-13.4814942,,7.945126708,,,0.605460352,,,,,,,,
275,4,1,trace_sisj_doccp,0.752331071,0.006220894,1.157360946,-13.48192285,,7.948699245,,,0.602720475,,,,,,,,
276,4,2,trace_sisj_doccp,0.77342302,0.007595669,1.144180424,-13.48171537,,7.949501096,,,0.603548247,,,,,,,,
277,4,4,trace_sisj_doccp,0.860223201,0.005432,1.157587177,-13.47612633,,7.931041635,,,0.618620461,,,,,,,,
278,4.4,0.05,trace_sisj_doccp,0.560553427,0.012313866,1.001351399,-13.41023881,,8.00671265,,,0.451410857,,,,,,,,
279,4.4,0.1,trace_sisj_doccp,0.579438139,0.018302009,1.02158789,-13.4112221,,8.023997908,,,0.426510653,,,,,,,,
280,4.4,0.125,trace_sisj_doccp,0.567012287,0.019679762,1.001808074,-13.4117141,,8.03347383,,,0.415215793,,,,,,,,
281,4.4,0.15,trace_sisj_doccp,0.595268236,0.020269571,1.037530704,-13.41218631,,8.042982797,,,0.404804364,,,,,,,,
282,4.4,0.2,trace_sisj_doccp,0.586265708,0.019748505,1.044193433,-13.41308247,,8.060962737,,,0.386545501,,,,,,,,
283,4.4,0.3,trace_sisj_doccp,0.588996028,0.015315041,1.035344732,-13.41455108,,8.088612708,,,0.359979246,,,,,,,,
284,4.4,0.4,trace_sisj_doccp,0.621599277,0.010259327,1.003239968,-13.41554469,,8.10475684,,,0.344252221,,,,,,,,
285,4.4,0.6,trace_sisj_doccp,0.647517122,0.00407595,1.004296536,-13.41650927,,8.118527183,,,0.331105984,,,,,,,,
286,4.4,0.8,trace_sisj_doccp,0.651685595,0.002410444,1.032983838,-13.41682188,,8.12586481,,,0.327586903,,,,,,,,
287,4.4,1,trace_sisj_doccp,0.652522716,0.002348428,1.00357874,-13.41693331,,8.127491889,,,0.3265398,,,,,,,,
288,4.4,2,trace_sisj_doccp,0.684846674,0.002958332,1.025087925,-13.41708644,,8.127991156,,,0.325548637,,,,,,,,
289,4.4,4,trace_sisj_doccp,0.710443711,0.003462733,1.040611576,-13.41711934,,8.128069159,,,0.325420057,,,,,,,,
290,4.8,0.05,trace_sisj_doccp,0.407273892,0.007262306,0.79109398,-13.36322779,,8.281140439,,,0.248254968,,,,,,,,
291,4.8,0.1,trace_sisj_doccp,0.404835492,0.010492712,0.790031583,-13.36400707,,8.289186614,,,0.231201988,,,,,,,,
292,4.8,0.125,trace_sisj_doccp,0.411148567,0.01112158,0.771875984,-13.36436654,,8.293866017,,,0.223697897,,,,,,,,
293,4.8,0.15,trace_sisj_doccp,0.408771705,0.011292597,0.780539945,-13.36468565,,8.298703159,,,0.217031634,,,,,,,,
294,4.8,0.2,trace_sisj_doccp,0.413886094,0.010692387,0.772882234,-13.36525644,,8.308064193,,,0.205785838,,,,,,,,
295,4.8,0.3,trace_sisj_doccp,0.433349408,0.007826096,0.800339982,-13.3660695,,8.322399524,,,0.190564123,,,,,,,,
296,4.8,0.4,trace_sisj_doccp,0.412067343,0.004937302,0.766085825,-13.36654108,,8.3305798,,,0.182378291,,,,,,,,
297,4.8,0.6,trace_sisj_doccp,0.405794872,0.001709505,0.809016038,-13.36692288,,8.337789726,,,0.176306568,,,,,,,,
298,4.8,0.8,trace_sisj_doccp,0.393110935,0.000933625,0.796667189,-13.36701837,,8.34108923,,,0.174941973,,,,,,,,
299,4.8,1,trace_sisj_doccp,0.393423117,0.000944453,0.807903092,-13.367045,,8.341750558,,,0.174606731,,,,,,,,
300,4.8,2,trace_sisj_doccp,1.39927582,0.038926039,0.969706852,-13.38546483,,9.789649867,,,-0.186190636,,,,,,,,
301,4.8,4,trace_sisj_doccp,0.414606891,0.001427436,0.812000707,-13.36713198,,8.342086699,,,0.173984323,,,,,,,,
302,3.2,0.05,trace_t_1_doccp,0.310510582,0.008689425,0.359803208,-13.14758918,-2.291592624,8.999943085,,,,,,,,,,,
303,3.2,0.1,trace_t_1_doccp,0.310543327,0.012078431,0.358435338,-13.14853707,-2.288147421,8.987137899,,,,,,,,,,,
304,3.2,0.125,trace_t_1_doccp,0.310643608,0.012692774,0.358532576,-13.14918173,-2.285875946,8.979117877,,,,,,,,,,,
305,3.2,0.15,trace_t_1_doccp,0.310821465,0.012873416,0.359487148,-13.1499329,-2.283292157,8.970079325,,,,,,,,,,,
306,3.2,0.2,trace_t_1_doccp,0.31146812,0.012452467,0.358802506,-13.15163383,-2.277502249,8.94918572,,,,,,,,,,,
307,3.2,0.3,trace_t_1_doccp,0.314601212,0.010451905,0.358754848,-13.15531675,-2.264667775,8.896520652,,,,,,,,,,,
308,3.2,0.4,trace_t_1_doccp,0.321977266,0.008537479,0.358498974,-13.15843247,-2.251742129,8.828431974,,,,,,,,,,,
309,3.2,0.6,trace_t_1_doccp,0.333032622,0.006442584,0.358022949,-13.15887924,-2.24192,8.753661822,,,,,,,,,,,
310,3.2,0.8,trace_t_1_doccp,0.3316839,0.005221425,0.35804312,-13.15464014,-2.244580221,8.739039518,,,,,,,,,,,
311,3.2,1,trace_t_1_doccp,0.728791516,0.004100733,0.382870037,-13.14831684,-2.248520555,8.716074452,,,,,,,,,,,
312,3.2,2,trace_t_1_doccp,0.95592071,0.000743222,0.45517785,-13.11012218,-2.267416802,8.554394668,,,,,,,,,,,
313,3.2,4,trace_t_1_doccp,0.992412335,9.05E-06,0.504758154,-13.06215483,-2.289512405,8.355416218,,,,,,,,,,,
314,3.6,0.05,trace_t_1_doccp,0.289245957,0.006883553,0.128588063,-13.28842368,-1.653362386,9.049200107,,,,,,,,,,,
315,3.6,0.1,trace_t_1_doccp,0.290001162,0.009533585,0.12853601,-13.28749612,-1.657963899,9.059075169,,,,,,,,,,,
316,3.6,0.125,trace_t_1_doccp,0.290269746,0.009975625,0.128558415,-13.28715489,-1.659595196,9.062351381,,,,,,,,,,,
317,3.6,0.15,trace_t_1_doccp,0.290459931,0.010065813,0.128607928,-13.28689858,-1.660822153,9.064635454,,,,,,,,,,,
318,3.6,0.2,trace_t_1_doccp,0.267420943,0.009634365,0.128345457,-13.28658529,-1.662289911,9.066552516,,,,,,,,,,,
319,3.6,0.3,trace_t_1_doccp,0.263054763,0.008000914,0.128395896,-13.2866314,-1.662262108,9.061665672,,,,,,,,,,,
320,3.6,0.4,trace_t_1_doccp,0.26309386,0.006618048,0.128429853,-13.2871858,-1.659958674,9.047534748,,,,,,,,,,,
321,3.6,0.6,trace_t_1_doccp,0.296162161,0.005420476,0.128539519,-13.28850255,-1.652737465,8.994277791,,,,,,,,,,,
322,3.6,0.8,trace_t_1_doccp,0.307724061,0.005206226,0.12830658,-13.28912658,-1.643379641,8.897613027,,,,,,,,,,,
323,3.6,1,trace_t_1_doccp,0.332780459,0.005053153,0.166228321,-13.28876278,-1.634490509,8.786073487,,,,,,,,,,,
324,3.6,2,trace_t_1_doccp,0.819407033,0.003193053,0.185478454,-13.27951438,-1.643790579,8.756082547,,,,,,,,,,,
325,4,0.05,trace_t_1_doccp,0.239554674,0.007006472,0.116496061,-13.3429837,-1.150902436,9.051876652,,,,,,,,,,,
326,4,0.1,trace_t_1_doccp,0.24236234,0.009523444,0.120347625,-13.33894857,-1.168969714,9.086544449,,,,,,,,,,,
327,4,0.125,trace_t_1_doccp,0.243679038,0.00981037,0.120165523,-13.33743995,-1.175809826,9.100338176,,,,,,,,,,,
328,4,0.15,trace_t_1_doccp,0.244710274,0.009701134,0.120608166,-13.33607401,-1.181893736,9.112643772,,,,,,,,,,,
329,4,0.2,trace_t_1_doccp,0.24730816,0.008793335,0.11995464,-13.33376847,-1.191919018,9.133067336,,,,,,,,,,,
330,4,0.3,trace_t_1_doccp,0.250801029,0.006221457,0.119493344,-13.33068107,-1.204854915,9.160103426,,,,,,,,,,,
