,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
27,4.8,0.15,"trace,t_1-doccp,densityNN,hophop",0.164615567,0.001608972,0.218939247,-12.21006701,-0.604350113,9.505543491,,-2.228354666,,-1.11435776,,,,,,,
28,4.8,0.3,"trace,t_1-doccp,densityNN,hophop",0.159845884,0.000884877,0.262182958,-12.10678267,-0.609535908,9.568551772,,-2.460662312,,-1.216357662,,,,,,,
29,4.8,0.4,"trace,t_1-doccp,densityNN,hophop",0.191462791,0.000639272,0.22021049,-12.31690099,-0.611090114,9.527932846,,-2.146160462,,-1.006364038,,,,,,,
30,4.8,0.6,"trace,t_1-doccp,densityNN,hophop",0.167837017,0.000446815,0.22359128,-11.77693131,-0.603452566,9.784416906,,-3.20300864,,-1.54604993,,,,,,,
31,4.8,0.8,"trace,t_1-doccp,densityNN,hophop",0.159120566,0.000504596,0.25723153,-11.55599241,-0.610215785,9.564769496,,-3.000059794,,-1.767069087,,,,,,,
32,4.8,1,"trace,t_1-doccp,densityNN,hophop",0.175752514,0.000567093,0.224900997,-13.37742915,-0.611185582,9.586776797,,-1.178607893,,0.054384691,,,,,,,
33,3.2,0.1,"trace,t_1-doccp,densityNN,ring_ijkl",0.234965189,0.009591587,0.360973163,-15.98498377,-2.134408423,9.933411454,,,,2.848604511,,,,,,0.015165383,
34,3.2,0.125,"trace,t_1-doccp,densityNN,ring_ijkl",0.281886163,0.012497514,0.378202998,-13.9807078,-2.236477638,9.081506783,,,,0.844900723,,,,,,-0.006557181,
35,3.2,0.15,"trace,t_1-doccp,densityNN,ring_ijkl",0.235580035,0.010535193,0.276498752,-15.95479873,-2.13024752,9.897088164,,,,2.817021427,,,,,,0.017115983,
36,3.2,0.3,"trace,t_1-doccp,densityNN,ring_ijkl",0.240199921,0.009516691,0.370777203,-15.88215256,-2.116847836,9.834058003,,,,2.736970291,,,,,,0.016478602,
37,3.2,0.4,"trace,t_1-doccp,densityNN,ring_ijkl",0.341851718,0.007539866,0.398997202,-14.13608042,-2.091305382,9.258365626,,,,0.914722021,,,,,,-0.082361404,
38,3.2,0.6,"trace,t_1-doccp,densityNN,ring_ijkl",0.261054546,0.006851511,0.355025694,-16.25295732,-2.132644844,10.12201421,,,,3.120945425,,,,,,0.04161503,
39,3.2,0.8,"trace,t_1-doccp,densityNN,ring_ijkl",0.354838102,0.004365885,0.414714654,-15.89583454,-1.999682173,9.950659945,,,,2.67984715,,,,,,-0.068406555,
40,3.2,1,"trace,t_1-doccp,densityNN,ring_ijkl",1.12719992,0.003398495,0.39482167,-18.07584377,-2.00956754,11.31608407,,,,4.907187712,,,,,,0.033392259,
41,4.8,0.1,"trace,t_1-doccp,densityNN,ring_ijkl",0.159028559,0.001969368,0.168081071,-14.74803675,-0.651533803,9.997450469,,,,1.430052881,,,,,,0.036587761,
42,4.8,0.125,"trace,t_1-doccp,densityNN,ring_ijkl",0.151634389,0.002094804,0.165986874,-14.76311016,-0.648381601,10.00214794,,,,1.444716801,,,,,,0.032081139,
43,4.8,0.15,"trace,t_1-doccp,densityNN,ring_ijkl",0.157285828,0.00210018,0.16804543,-14.72535463,-0.64539216,9.97245621,,,,1.406329383,,,,,,0.03658938,
44,4.8,0.3,"trace,t_1-doccp,densityNN,ring_ijkl",0.215899834,0.001896808,0.249048431,-15.67129436,-0.622328577,10.66608085,,,,2.349021872,,,,,,0.166820845,
45,4.8,0.4,"trace,t_1-doccp,densityNN,ring_ijkl",0.208721378,0.001578049,0.250096232,-15.60168558,-0.623662954,10.61316164,,,,2.279560287,,,,,,0.173869308,
46,4.8,0.6,"trace,t_1-doccp,densityNN,ring_ijkl",0.21755212,0.001636924,0.248890779,-15.47109202,-0.626014554,10.51321811,,,,2.14922714,,,,,,0.183937912,
47,4.8,0.8,"trace,t_1-doccp,densityNN,ring_ijkl",0.240149074,0.001162445,0.21087237,-14.61110461,-0.628651358,9.904578582,,,,1.288666283,,,,,,0.242870771,
48,4.8,1,"trace,t_1-doccp,densityNN,ring_ijkl",0.220898592,0.001326556,0.224189215,-14.52373376,-0.628735749,9.855434615,,,,1.201183051,,,,,,0.251228272,
49,3.2,0.1,"trace,t_1-doccp,densityNN,ring_ijlk",0.285711164,0.009655313,0.368664148,-15.83237273,-2.093228185,9.80809027,,,,2.680618564,,,,,,,-0.046528736
50,3.2,0.125,"trace,t_1-doccp,densityNN,ring_ijlk",0.286481212,0.010326437,0.368667285,-15.83095705,-2.090481188,9.796743415,,,,2.67815534,,,,,,,-0.043492342
51,3.2,0.15,"trace,t_1-doccp,densityNN,ring_ijlk",0.28362666,0.012570822,0.377838286,-13.95122323,-2.279378671,9.082053569,,,,0.82654144,,,,,,,0.067010609
52,3.2,0.3,"trace,t_1-doccp,densityNN,ring_ijlk",0.290961671,0.010496791,0.378023768,-13.85826017,-2.259109449,9.014873244,,,,0.724676863,,,,,,,0.051336686
53,3.2,0.4,"trace,t_1-doccp,densityNN,ring_ijlk",0.29371825,0.008695128,0.378121756,-13.74403741,-2.250754722,8.965592081,,,,0.604376944,,,,,,,0.039788111
54,3.2,0.6,"trace,t_1-doccp,densityNN,ring_ijlk",0.260573503,0.006508284,0.386942853,-15.96835975,-2.095533846,9.960260924,,,,2.803149265,,,,,,,0.019563774
55,3.2,0.8,"trace,t_1-doccp,densityNN,ring_ijlk",0.302819743,0.004488169,0.41059726,-17.39587986,-2.117216148,10.95736367,,,,4.263033005,,,,,,,0.117544132
56,4.8,0.1,"trace,t_1-doccp,densityNN,ring_ijlk",0.133633344,0.001840035,0.172638462,-14.91267742,-0.619177534,10.08888447,,,,1.591003995,,,,,,,-0.050626432
57,4.8,0.125,"trace,t_1-doccp,densityNN,ring_ijlk",0.138763512,0.001915586,0.172642095,-14.90621134,-0.617419436,10.08171661,,,,1.584246904,,,,,,,-0.050796192
58,4.8,0.15,"trace,t_1-doccp,densityNN,ring_ijlk",0.152424436,0.001896756,0.170611551,-14.84820597,-0.618513812,10.04049699,,,,1.526159224,,,,,,,-0.041982657
59,4.8,0.3,"trace,t_1-doccp,densityNN,ring_ijlk",0.157656093,0.001390693,0.173170902,-14.82851705,-0.614306834,10.01495918,,,,1.50566995,,,,,,,-0.035577343
60,4.8,0.4,"trace,t_1-doccp,densityNN,ring_ijlk",0.157274222,0.001127264,0.173096811,-14.8201947,-0.612048093,10.00378046,,,,1.496942939,,,,,,,-0.033993049
