,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.5979179035966313,1.3936136809521922,1.3936136809521922,-12.520143849273303,-10.242527981173675,2.620750019383115,2.713954901134647,10.077624827641479,1.2918722389186805,1.3096019754104808
1,3.0,1,0.0882585202593711,1.2708835563063001,1.2708835563063001,-11.547672189776979,-14.72230627614863,-3.4945596528563208,-3.3617151935615324,6.202231232888513,5.572842808216696,1.2413399124594275
2,3.0,2,0.5979179035967166,1.393613811000014,1.393613811000014,-12.520143846683016,-12.398267130991027,2.6207500821318663,3.8281665156896096,10.077623233646298,6.890245391715927,1.3096021469190413
3,3.0,3,0.5979179035966287,1.3936136381418722,1.3936136381418722,-12.520143835799072,-11.90338427569002,2.620750091386975,3.5725958317070807,10.077624659573999,2.3674460943738116,1.3096019360040836
4,3.0,4,0.5979179035966279,1.3936135985099525,1.3936135985099525,-12.520143797737703,-14.60648239694959,2.6207501390571935,3.300696171193536,10.077624517685935,2.794446373869883,1.309601898488676
5,3.0,5,0.043979644064277214,1.1995140695857456,1.1995140695857456,-12.214786770360394,-11.652839704342702,-2.9857188778739445,-2.8554419993554543,8.893673879304059,10.251457192275375,1.1406000611126006
6,3.0,6,0.5979179035966282,1.393613588070514,1.393613588070514,-12.520143829634861,-12.325837788116711,2.620750155495602,2.511800474754054,10.077624642509765,4.182041442631819,1.3096018856541716
7,3.0,7,0.5979179035966283,1.3936136135767543,1.3936136135767543,-12.52014383379604,-11.444858838668345,2.620750121975194,0.625599647334151,10.077624661650754,9.55738190321539,1.3096019110668324
8,3.0,8,0.043979644064275014,1.1995140503652204,1.1995140503652204,-12.214786711266482,-13.830477112239745,-2.9857189579986145,-2.3520354406651984,8.893673600043785,2.502857956839124,1.1406000615830763
9,3.0,9,0.04397964406432255,1.1995136889790894,1.1995136889790894,-12.214786464071652,-12.801985087099323,-2.9857194700298018,-1.4804017856300735,8.893673511112583,4.9327253037678105,1.140599740682208
10,3.0,10,0.04397964406427578,1.1995140761887908,1.1995140761887908,-12.214786679264046,-10.632688274816424,-2.9857189462904254,-3.8857890402930284,8.893673403672466,8.694557460495572,1.140600095932575
11,3.0,11,0.08825852025937057,1.2708835519907515,1.2708835519907515,-11.547672178669574,-11.414004413998711,-3.494559675899639,-0.6316622061570012,6.2022311502787195,2.134167019297465,1.2413399171050425
12,3.0,12,0.597917903596629,1.3936136391565281,1.3936136391565281,-12.52014384818731,-10.466692380330233,2.620750105633731,3.6586799707536652,10.077624609642772,3.867560338057362,1.3096019386205298
13,3.0,13,0.04397964406431032,1.1995137900917208,1.1995137900917208,-12.214786894708988,-12.24320253867158,-2.9857191950016286,-1.2178036337901075,8.89367486787207,11.34373941105842,1.1405997588712318
14,3.0,14,0.04397964406427593,1.1995140875160488,1.1995140875160488,-12.214786717972839,-11.661394414449479,-2.985718902584512,-2.50072708095478,8.893673568203177,2.5965267798604943,1.140600096036967
15,3.0,15,0.04397964406427552,1.1995140460245108,1.1995140460245108,-12.214786715116121,-12.964986998724033,-2.9857189686638606,-1.1658304099917487,8.893673603716255,5.067299805617945,1.1406000580123083
16,3.0,16,0.5979179035966289,1.3936135878960467,1.3936135878960467,-12.520143835792558,-11.498789631565517,2.6207501377338227,0.3927069691170493,10.077624792202723,2.744800871005496,1.3096018818758415
17,3.0,17,0.043979644064275444,1.1995140740351848,1.1995140740351848,-12.214786711694236,-13.56035720774401,-2.985718938996221,-1.940434898835262,8.89367352220023,8.904491709668715,1.1406000877750306
18,3.0,18,0.5979179035966301,1.3936134939417801,1.3936134939417801,-12.520143818990453,-12.136921305755472,2.6207502613920233,1.2675301452674619,10.07762471382506,3.2121388969733236,1.3096017884246516
19,3.0,19,0.5979179035968628,1.393612444154734,1.393612444154734,-12.520143458295765,-13.25765596297349,2.620751311736473,2.629957048487544,10.077625307273948,6.80067109504882,1.3096007026144525
