,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.0028008869693517263,1.3386935186128956,1.3386935186128956,-12.324256020909107,-11.74793573353577,-2.7517193412604,-0.8998006108450323,9.041259855947304,7.280022212493775,1.3386935186128956
1,3.0,1,0.002800886969353478,1.3386937759118156,1.3386937759118156,-12.324255974963204,-12.841792523363695,2.7517193165404095,-0.2547093599301462,9.041259207199234,2.4955511507423154,1.3386937759118156
2,3.0,2,0.0028008869693519622,1.3386935879565207,1.3386935879565207,-12.324256068747639,-12.442221432999956,2.7517192879746597,2.8996186451943613,9.04125993304741,11.524186359733578,1.3386935879565207
3,3.0,3,0.013525019443267373,7.939254307395134,7.939254307395134,-11.210486023866368,-14.543923135016371,-3.9436085235654095,-3.9238253257136995,3.3633305019846467,5.180111589924932,7.939254307395134
4,3.0,4,0.0028008869693918635,1.338693599165483,1.338693599165483,-12.324255254378164,-13.083895858790672,-2.751719920462299,-1.3640810411002073,9.041256497942433,4.915870773691391,1.338693599165483
5,3.0,5,0.0028008869693518105,1.3386933678963222,1.3386933678963222,-12.324255999188974,-14.709301687155452,-2.7517194255663546,-2.301009120272882,9.041259975322737,9.214792211727625,1.3386933678963222
6,3.0,6,0.0028008869693555774,1.3386940153863063,1.3386940153863063,-12.324256067762432,-10.15872895686396,-2.7517190972207555,-3.7465977321221198,9.041259332883778,7.219327547175613,1.3386940153863063
7,3.0,7,0.016385027941444228,7.722712771454858,7.722712771454858,-11.81911979663342,-12.829873100864663,-3.6594711792862746,-3.728007678650733,5.861691258185952,6.046612310157915,7.722712771454858
8,3.0,8,0.0028008869693517116,1.3386934598919626,1.3386934598919626,-12.324256011577544,-13.042571756499278,-2.7517193765197168,-1.898419477193455,9.041259895729377,2.922060266941928,1.3386934598919626
9,3.0,9,0.002800886969351815,1.3386934231804297,1.3386934231804297,-12.32425597643704,-11.039221853730783,2.7517193914353286,3.772146031329533,9.041259850981167,9.167535810084697,1.3386934231804297
10,3.0,10,0.0028008869693516986,1.3386934335559677,1.3386934335559677,-12.32425603409743,-13.663306821946444,-2.7517193749737583,-2.869455763935691,9.041260019402607,11.591773925955707,1.3386934335559677
11,3.0,11,0.002800886969351726,1.3386934135236275,1.3386934135236275,-12.32425600678904,-12.585932805586616,-2.7517194039705055,-0.6128299729492621,9.041259935082563,7.185374321286981,1.3386934135236275
12,3.0,12,0.002800886969351713,1.3386934319775252,1.3386934319775252,-12.324256016261781,-14.585610092150493,-2.751719378238792,-1.0613854305654362,9.041259966979666,5.688680675890618,1.3386934319775252
13,3.0,13,0.002800886969351698,1.3386934328313673,1.3386934328313673,-12.324255998794197,-14.813084688429505,-2.751719397792041,-1.81312121414462,9.041259881316368,4.844410526201852,1.3386934328313673
14,3.0,14,0.0028008869693517745,1.338693517516581,1.338693517516581,-12.324256032165023,-10.819909236634906,-2.7517193409912086,-3.7311036389728693,9.041259890431595,10.807579859689724,1.338693517516581
15,3.0,15,0.012310148145553142,6.479009154318338,6.479009154318338,-11.038109359107578,-14.984590367051547,-4.1750928287848215,-3.455781927100336,3.399788711096654,2.7466701917748004,6.479009154318338
16,3.0,16,0.0028008869693517033,1.3386934621787963,1.3386934621787963,-12.324256018278708,-10.787634454568451,2.7517193676574467,-0.35121398952106286,9.041259925283866,10.652972261369209,1.3386934621787963
17,3.0,17,0.0028008869693540123,1.3386936352622745,1.3386936352622745,-12.324255949946833,-14.834781954206827,2.7517194409803856,2.0858472019755476,9.041259223944305,11.463231946379263,1.3386936352622745
18,3.0,18,0.0028008869693516895,1.338693396253522,1.338693396253522,-12.324256019863945,-10.127495142088573,-2.7517193975946466,-2.3375302166262193,9.041260020958502,8.519297744107103,1.338693396253522
19,3.0,19,0.002800886969351788,1.3386934166707976,1.3386934166707976,-12.324256043989044,-14.407238982095276,-2.7517193621330462,-2.94855166391343,9.041260106985769,8.610325759429925,1.3386934166707976
