energy,state,n_0,n_1,n_2,n_3,n_4,n_5,t_1,t_2,trace,densityNN,doccp,exchange,hophop,sisj,sisjNNN,r,delta,method,basis,CAS active nMO,hf smearing
-117.19465485356595,0,1.3009723346136286,0.8219531339854647,0.7251339845187832,0.7251340177827287,0.8219530877130246,1.3009723419190455,5.604756795278245,-0.30574136405695673,5.696118900532675,6.716176272405353,0.9713621257882297,-2.356313631732577,0.33748212711321857,-0.5008872522350498,0.2300088743075685,3.6,0.0,casci,vqz,18,0.01
-115.94304835765091,1,1.3200852737604023,0.7410743176974699,0.7741349203585426,0.774134955252407,0.7410743209302342,1.3200853574190967,3.9379121349372763,-1.5451626066993485,5.670589145418153,7.24486359788148,0.8441519088807478,-4.481977672500072,0.2095629586807088,0.42977293677966655,0.43912338573671156,3.6,0.0,casci,vqz,18,0.01
-115.42928323501874,2,1.317329444481981,0.9745931860870285,0.5350474842373141,0.5350474659585107,0.9745931964532605,1.3173295891660115,3.940785588104359,-1.3083489200996252,5.653940366384107,7.023625640764073,0.9252947574785224,-3.977748738067724,0.17556548405355943,0.2329679588428436,0.3090745496252887,3.6,0.0,casci,vqz,18,0.01
-115.08102654383084,3,1.226974443086735,0.8332546675019923,0.7887235127002974,0.7887235144762061,0.8332546183030872,1.2269745885147043,4.0268751362242785,-0.5771735533989986,5.697905344583022,7.048622845620444,0.7560239368161803,-3.6105035856010006,0.23890341766505357,0.04309608139538951,0.337950705059405,3.6,0.0,casci,vqz,18,0.01
-114.97877397024685,4,1.2326822397275097,0.838547182631154,0.7745077774804865,0.7745077594976821,0.8385471897856439,1.2326823975373613,2.982963613552333,-1.6927942668945963,5.691474546659838,7.1930050771147895,0.6577131961640104,-5.447679873018752,0.15070444044456735,0.925588667230679,1.105854773146786,3.6,0.0,casci,vqz,18,0.01
-114.8911872905485,5,1.1405286802115586,0.8375144877715662,0.9025907196028468,0.9025907042580184,0.837514557678725,1.1405288081148792,4.333716519403303,-0.6039757959037362,5.761267957637593,6.456552883157456,0.7178251528365008,-2.2502136160360955,0.313806004400775,-0.48903141277131595,0.9108578462467658,3.6,0.0,casci,vqz,18,0.01
-114.53625193561581,6,1.1597446953904096,0.832512553205779,0.8818644316811963,0.8818644845027737,0.8325125382092606,1.1597447046779674,3.8914621702393113,-0.8330399708223906,5.7482434076673865,7.165999751809068,0.7207333406806097,-3.6681940809569866,0.28949243260593427,0.04259710252622628,-0.40835450576030585,3.6,0.0,casci,vqz,18,0.01
-114.23832132746378,7,1.3150801617406702,0.9220147331114026,0.5783216561530383,0.5783216292428492,0.9220147749655327,1.3150802790912233,3.6763274056339474,-0.5787398076136817,5.630833234304716,7.307160167157397,0.8864753944915955,-4.375194472301075,0.14092484676544906,0.36080719436118847,0.24555390826943635,3.6,0.0,casci,vqz,18,0.01
-113.6687990772718,8,1.2216056373774786,0.8697266407253514,0.7579060850333719,0.7579060571458837,0.8697266844696567,1.2216056527913586,3.228922633727262,-1.5754971314623942,5.6984767575431015,6.850590280212936,0.7441757288364688,-1.6825291689207487,0.23022191823733068,-0.8713829855928596,0.5683231697377029,3.6,0.0,casci,vqz,18,0.01
-112.86554823185028,9,1.287837715703889,0.8887813415547587,0.6449318912452919,0.6449319236605289,0.888781349894828,1.2878378447049128,2.7138991979157234,-0.7395375587977834,5.643102066764209,7.198255572376317,0.8121317600120124,-4.445298306737675,0.11579018237100686,0.4230852602747578,0.548817223626133,3.6,0.0,casci,vqz,18,0.01
