energy,state,n_0,n_1,n_2,n_3,n_4,n_5,t_1,t_2,trace,densityNN,doccp,exchange,hophop,sisj,sisjNNN,r,delta,method,basis,CAS active nMO,hf smearing
-83.26309130717122,0,0.9983211605310036,0.9983210645563876,0.9983211594314372,0.998321157442181,0.9983210649710018,0.9983211610968608,5.889307522456887,-0.018566095802678595,5.989926768028871,6.750864221695121,0.5725637884177202,0.1293735383679121,0.490261994378709,-1.7524028246077363,1.6132044140714865,3.6,0.0,casci,unc-vtz,7,0.01
-82.21976234779913,1,0.9986227379635205,0.9986226440277155,0.9986227388653668,0.9986227396957087,0.9986226441439474,0.9986227378695733,4.479762858631107,-0.018117781245577634,5.991736242565832,6.372819674311314,0.402155803228462,-0.3005873149533579,0.3741982114112492,-1.4429112611011496,1.9518971088343346,3.6,0.0,casci,unc-vtz,7,0.01
-81.71476800557342,2,0.9987180325335585,0.9987179378610016,0.9987180286847581,0.9987180281024237,0.9987179415445853,0.9987180292614625,4.021479294669428,-0.29527678190939566,5.99230799798779,7.573153473094643,0.3876287358708015,-2.2368171382611832,0.3619744221538792,-0.7748797991430694,-0.6938793728862058,3.6,0.0,casci,unc-vtz,7,0.01
-81.59097429658584,3,0.9971514957092962,1.0018661593985532,0.9967276379803762,0.9971515223987943,1.0018661596299627,0.9967276120496369,3.953391352529989,-0.23535780511305773,5.991490587166619,7.8417310970292045,0.3958188409590779,-3.1344058413637805,0.3441845106231771,-0.3932298535754108,0.15681740843116487,3.6,0.0,casci,unc-vtz,7,0.01
-81.5909742934709,4,1.000012082463615,0.9952972308491947,1.000435977761522,1.0000120947248043,0.995297231447472,1.0004359642405103,3.953391327366236,-0.23535803354911244,5.991490581487118,7.841731052392877,0.3958188413636208,-3.1344057851146387,0.3441844956220411,-0.39322987054089986,0.15681745820556536,3.6,0.0,casci,unc-vtz,7,0.01
-81.13352989048848,5,1.0039535525607501,0.988183534885439,1.0039050562555807,1.0039535436589804,0.9881835247955345,1.0039050763221453,3.3318266138452435,-0.49201040084373315,5.992084288478431,7.676130070368349,0.32403268619362724,-3.4121727696565074,0.28764588833155225,-0.21294613276383362,0.44889082898467564,3.6,0.0,casci,unc-vtz,7,0.01
-81.13352971279045,6,0.9934079503931641,1.0091777855016257,0.993456412054523,0.9934079347760929,1.0091777845072247,0.993456430725544,3.3318266216866936,-0.4920106815916475,5.992084297958175,7.67613021821102,0.3240326920736157,-3.412172892230937,0.28764592621527496,-0.21294610843728645,0.4488909572205511,3.6,0.0,casci,unc-vtz,7,0.01
-80.67978579993311,7,0.9985283974037691,0.9990217225911041,0.9985253073494447,0.998528390978733,0.999021708716361,0.9985253192788268,2.8835151265819885,-0.5816614970023749,5.992150846318238,8.318342019769396,0.2963446725339955,-4.7083728626877885,0.2644643639632007,0.2746009264015453,-0.7887558710549254,3.6,0.0,casci,unc-vtz,7,0.01
-80.67978566455892,8,0.9988552756823919,0.998361767892542,0.9988583622678678,0.9988552865465734,0.998361766849508,0.9988583536367657,2.883514850168738,-0.5816615570032404,5.992150812875648,8.318341970988834,0.2963445975389578,-4.708372630803076,0.2644642635345144,0.2746008226543295,-0.7887558873882563,3.6,0.0,casci,unc-vtz,7,0.01
-80.59830171345565,9,0.9987037564485548,0.9987036899417339,0.9987037980726847,0.9987038002183606,0.9987036894851775,0.9987037541431858,2.71128010167077,0.002254958998681604,5.9922224883096975,7.2970692383749505,0.2610465734678258,-4.053776110975594,0.21993648093224097,0.2026207458940596,2.1477568442536934,3.6,0.0,casci,unc-vtz,7,0.01
