energy,state,n_0,n_1,n_2,n_3,n_4,n_5,t_1,t_2,trace,densityNN,doccp,exchange,hophop,sisj,sisjNNN,r,delta,method,basis,CAS active nMO,hf smearing
-122.21263182862818,0,1.368812478355387,0.878259731375542,0.6318048496998889,0.6318154311183231,0.8782373915134409,1.368792987602239,5.816743579711233,-0.45846988839799735,5.757722869664821,7.00774906786301,1.1490001766107834,-2.7863232811608247,0.4025606789565525,-0.35877562638533983,0.1865188294426412,3.6,0.0,casci,unc-vqz,18,0.01
-120.84012478321027,1,1.3501709792273058,0.9997725416938223,0.5134077327203679,0.5133928565626718,0.9997572453321544,1.3501528490480534,4.3015667164397,-1.4870101534055644,5.726654204584376,7.229565283188586,1.107521947140128,-4.165539336507634,0.2716809833163714,0.2753783474566704,0.4122754908510595,3.6,0.0,casci,unc-vqz,18,0.01
-120.13349287481535,2,1.40747448099888,0.7043055101298621,0.7708189040310218,0.770844768308798,0.7042887731134797,1.4074494292214172,4.321615508793975,-1.39569922452129,5.765181865803458,7.179638217846896,1.0469576335410968,-4.179854684423745,0.31919117821143617,0.29501778775014875,0.5638462572059362,3.6,0.0,casci,unc-vqz,18,0.01
-118.77508703624791,3,1.2194951686669258,0.9676549647669687,0.6660780521141275,0.6660773257793733,0.9676677042190027,1.2194492859070207,4.214863274484108,-0.5147966612965577,5.706422501453419,6.687786635537702,0.9574107716339487,-3.645357023249961,0.23273552966777855,0.15073185274055492,0.6622255223174278,3.6,0.0,casci,unc-vqz,18,0.01
-118.45872409744247,4,1.2551549894588496,1.0092663154123214,0.5686624165221179,0.5687800539120331,1.0092827724790516,1.2550929185033695,3.877753560588686,-0.5630922075412117,5.6662394662877436,7.0559164056870545,1.0332942288676437,-3.9614587443042697,0.1656010802492704,0.21675027073037137,0.16635013938380555,3.6,0.0,casci,unc-vqz,18,0.01
-118.26351137099805,5,1.2882270399470164,0.7777673535938123,0.80662429220605,0.8064928986955984,0.7777636758231843,1.2882091272959375,4.155255936663085,-1.368686141695435,5.745084387561599,6.906613506775685,0.9723671663449927,-3.1149151304890665,0.32735890532085543,-0.169195811449388,-0.04691216202169779,3.6,0.0,casci,unc-vqz,18,0.01
-117.81097765773166,6,1.2471875626113023,0.8123050003090796,0.8156597893316183,0.81566787645086,0.8123045879058375,1.2471440057913847,4.00667698784849,-0.6465817440410824,5.750268822400082,7.236276827853862,0.8172743736592651,-3.9017625422323894,0.2573235215380043,0.14181206415272946,0.3699565720718206,3.6,0.0,casci,unc-vqz,18,0.01
-117.657098697136,7,1.2504986362606871,0.7907504413455095,0.8358251443127245,0.8358320499755174,0.7907539085162199,1.250452642891621,3.112904522633417,-1.6119150109965057,5.754112823302279,7.253319839221353,0.6823593462657291,-5.531274700683991,0.16598523179896923,0.9523073905366568,1.1761550176617241,3.6,0.0,casci,unc-vqz,18,0.01
-117.24132551097281,8,1.3606155532166573,0.9849016164268287,0.5167235559911496,0.5165853250819639,0.9848653327749635,1.3606174366487964,2.853998743664623,-1.8109043720174915,5.72430882014036,7.224880901617993,1.1348868914227659,-3.0865388715513724,0.25997914194346905,-0.2629507896288123,-0.021490766551116147,3.6,0.0,casci,unc-vqz,18,0.01
-117.18880396666763,9,1.2699814419880238,0.7682028172313758,0.8465026618956264,0.8466602821834222,0.7682177009164082,1.2699253147007787,3.5888162212575043,-0.8579743429941662,5.769490218915635,7.047668428703832,0.8697527746279949,-2.4518262089067258,0.28681582535428274,-0.536004002722595,0.4153778532675968,3.6,0.0,casci,unc-vqz,18,0.01
-116.45321010008858,10,1.3160287657156313,0.8492779146507422,0.7043286062722032,0.7043354340631284,0.8492763198985961,1.3159989268791654,2.335027583435693,-2.0516615762207646,5.739245967479468,6.886347767104111,0.9513124028743258,-3.2298314606194856,0.26993924990604057,-0.10667121146628497,0.8626988716806298,3.6,0.0,casci,unc-vqz,18,0.01
-116.05546427750924,11,1.236723917668618,0.8949907936146296,0.7101583503781044,0.7101359036896163,0.8950056655929461,1.2366860059393794,2.808666267536898,-1.571583210389361,5.6837006368832945,7.326690451422423,0.8737481025752072,-4.079629998767251,0.22671034217528208,0.20814238652801953,0.3877539524928997,3.6,0.0,casci,unc-vqz,18,0.01
-115.34939579490069,12,1.3022309344125196,0.7518633687116493,0.7669714068824176,0.7669796871263213,0.7518312519296972,1.3021989600656094,2.5469575183023605,-1.19201463514747,5.642075609128214,6.886815498815095,1.0054241752144408,-4.608336025054023,0.04259799302344734,0.5824641378232378,0.33983293161475187,3.6,0.0,casci,unc-vqz,18,0.01
-115.07687240063413,13,1.3442966475651077,1.285466016863599,0.14228419428823064,0.1422793137371271,1.2854686581807089,1.3442708697058663,2.742503405772854,-2.0866393297342487,5.544065700340639,7.6650615818030765,1.5624467318277633,-4.461956111198707,0.05147464116074394,0.3147126601485846,0.002456845872788438,3.6,0.0,casci,unc-vqz,18,0.01
-114.58518478809209,14,1.3363642348158697,0.7180764068681351,0.7337274696378324,0.733720711376093,0.718052607925407,1.3363377533447993,3.6561702295186156,-0.8753428023598576,5.576279183968136,6.5500649644528215,1.062093025819479,-2.982001284901683,0.09509716856426823,-0.1465155986623642,0.3263056599445323,3.6,0.0,casci,unc-vqz,18,0.01
-114.4471029740866,15,1.3151842372022098,0.8333285416656422,0.6957628084684614,0.6957894169195071,0.8333102723707007,1.3151382611230442,3.1418988974871356,-0.21008053606285962,5.688513537749564,7.036798840976731,0.9396875783062817,-4.512638169149108,0.03428581300332337,0.49711937433037146,0.309069808657013,3.6,0.0,casci,unc-vqz,18,0.01
-114.04770866014381,16,1.2712146524445913,0.743435284460185,0.7793451639665854,0.7794494843518065,0.7433774980041257,1.271198498500898,3.477815006936363,-1.058375207730876,5.588020581728191,6.01017951282291,1.1679147638523397,-2.2810838842150134,0.058890571843189216,-0.362002936098221,0.32575889253999746,3.6,0.0,casci,unc-vqz,18,0.01
-113.71951483669878,17,1.3166568040173694,0.8972631070586293,0.6347303004980338,0.634691567075689,0.8972883745182233,1.31660929149127,1.8060211734026597,-1.944198826784974,5.697239444659215,7.256861287324012,1.0771699032280164,-4.0627354580537425,0.27382179314933464,0.21715240719586779,0.1532398028046678,3.6,0.0,casci,unc-vqz,18,0.01
-113.17603491769243,18,1.19915628301819,0.8004339602370742,0.675214808860775,0.6755400005417876,0.801284556259205,1.198407152700384,3.8188045955643566,-0.08783088049062696,5.3500367616174165,5.878326282176587,0.7746293872058649,-3.0694394258716007,0.34500923610256384,0.06513814239165333,0.4757481791172735,3.6,0.0,casci,unc-vqz,18,0.01
-113.16731362568555,19,1.2319242122845329,0.7749899004596267,0.587152444672012,0.5867125221131579,0.7740581015445186,1.2326412970221945,4.06849390281123,-0.5210391105894696,5.187478478096043,5.608703267720056,0.8003770275259168,-2.6102048646416254,0.2871325161749688,-0.09707338460920154,0.44464507035512485,3.6,0.0,casci,unc-vqz,18,0.01
-113.11124881371323,20,1.2273670532464032,0.886459563390033,0.603601171926225,0.6037178316704213,0.8865215830937965,1.2272983205120047,2.8666032800521166,-1.2802100488992751,5.434965523838883,6.394015922273956,0.8906893971066958,-3.338349799170432,0.21006860103435965,0.07067091901672698,0.5825570844220227,3.6,0.0,casci,unc-vqz,18,0.01
