,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,t,U,E0,r,w0,state_cutoff
0,E0_t_U_V,"t,U,V",0,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,0,-2.1062560276961584,-2.133030537721198,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
1,E0_t_U_V,"t,U,V",1,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,1,-2.0979506615844707,-2.1330012412049646,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
2,E0_t_U_V,"t,U,V",2,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,2,-2.024934916434746,-2.050314966950721,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
3,E0_t_U_V,"t,U,V",3,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,3,-2.023006571121365,-2.0503659162874732,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
4,E0_t_U_V,"t,U,V",4,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,4,-1.8719692363617195,-1.8255210671669766,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
5,E0_t_U_V,"t,U,V",5,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,5,-1.8719486444658624,-1.8255210671669766,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
6,E0_t_U_V,"t,U,V",0,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,0,-2.1062560276961584,-2.133030537721198,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
7,E0_t_U_V,"t,U,V",1,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,1,-2.0979506615844707,-2.1330012412049646,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
8,E0_t_U_V,"t,U,V",2,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,2,-2.024934916434746,-2.050314966950721,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
9,E0_t_U_V,"t,U,V",3,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,3,-2.023006571121365,-2.0503659162874732,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
10,E0_t_U_V,"t,U,V",4,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,4,-1.8719692363617195,-1.8255210671669766,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
11,E0_t_U_V,"t,U,V",5,0.0409615509985551,0.010346803366296262,0.7444860850530387,0.027359345166108273,0.0027269922521489156,0.20016182458910883,0.03570959396369718,5,-1.8719486444658624,-1.8255210671669766,-0.15635383543911183,-0.0077043220557096665,-0.26431900692854493,2.2,0.6,10
12,E0_t_U_V,"t,U,V",0,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,0,-2.1062560276961584,-2.113766823472749,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
13,E0_t_U_V,"t,U,V",1,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,1,-2.0979506615844707,-2.1136488876239223,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
14,E0_t_U_V,"t,U,V",2,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,2,-2.024934916434746,-2.0338433272436274,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
15,E0_t_U_V,"t,U,V",3,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,3,-2.023006571121365,-2.034046944872671,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
16,E0_t_U_V,"t,U,V",4,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,4,-1.8719692363617195,-1.8149544474272616,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
17,E0_t_U_V,"t,U,V",5,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,5,-1.8719486444658624,-1.814954447427263,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
18,E0_t_U_V,"t,U,V",0,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,0,-2.1062560276961584,-2.113766823472749,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
19,E0_t_U_V,"t,U,V",1,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,1,-2.0979506615844707,-2.1136488876239223,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
20,E0_t_U_V,"t,U,V",2,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,2,-2.024934916434746,-2.0338433272436274,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
21,E0_t_U_V,"t,U,V",3,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,3,-2.023006571121365,-2.034046944872671,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
22,E0_t_U_V,"t,U,V",4,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,4,-1.8719692363617195,-1.8149544474272616,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
23,E0_t_U_V,"t,U,V",5,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,5,-1.8719486444658624,-1.814954447427263,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
24,E0_t_U_V,"t,U,V",0,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,0,-2.1062560276961584,-2.113766823472749,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
25,E0_t_U_V,"t,U,V",1,74.26511984383158,15.586799219990548,1.5508918932961444,0.056994197038599426,0.001483409901477789,0.12524763750435397,0.03416411529418738,1,-2.0979506615844707,-2.1136488876239223,-0.15302599742458475,-0.015135381634958651,-0.26037829204748814,2.2,0.6,10
