,Unnamed: 0,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,t,U,E0,r,w0,state_cutoff,AI Excitation Energy,Model Excitation Energy,Function Excitation Energy
1100,0,E0_t_U,"t,U",0,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,0,-2.0878112481566804,-2.105107791384926,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.0,0.0006215842137842209,0.0
1101,1,E0_t_U,"t,U",1,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,1,-2.081756114990122,-2.08631126488294,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.006055133166558591,0.019418110715770265,0.019709523366517434
1102,2,E0_t_U,"t,U",2,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,2,-2.013168845067362,-2.0097885068251387,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.07464240308931824,0.09594086877357144,0.09516350710590471
1103,3,E0_t_U,"t,U",3,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,3,-1.971832812379056,-1.9515344067789937,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.11597843577762434,0.1541949688197164,0.15053450068198093
1104,4,E0_t_U,"t,U",4,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,4,-1.9555744253502592,-1.9468533323041568,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.13223682280642124,0.1588760432945533,0.15053450068198404
1105,5,E0_t_U,"t,U",5,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,5,-1.9555742212592275,-1.9468533323041564,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.13223702689745287,0.15887604329455374,0.16045274627241812
1106,6,E0_t_U,"t,U",6,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,6,-1.8515488337656407,-1.8291743238991396,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.23626241439103968,0.2765550516995705,0.2606464672661928
1107,7,E0_t_U,"t,U",7,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,7,-1.7884287302186272,-1.7878029625444418,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.29938251793805315,0.3179264130542683,0.31710923584219763
1108,8,E0_t_U,"t,U",8,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,8,-1.788428137018064,-1.7878029625444425,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.2993831111386165,0.3179264130542676,0.3171092358421981
1109,9,E0_t_U,"t,U",9,0.0197718381148829,0.0062170624835131,0.6088417377813271,0.0223745098665018,0.000117614271363,0.0204495043571609,0.0120775206503808,9,-1.779942885717938,-1.7878029625444416,-0.1038827916822625,0.2491369447192233,-0.4572935809747849,2.8,0.6,10,0.3078683624387424,0.3179264130542685,0.3171092358421985
1110,10,E0_t_U,"t,U",0,0.025142672926005,0.0053471860730096,0.686572836100736,0.0252310735978573,9.388179126507944e-05,0.021167676333896,0.0118378064707579,0,-2.0878112481566804,-2.1130423217545378,-0.1044363584986738,0.2614291931401633,-0.4600268723071568,2.8,0.6,10,0.0,-0.007312946155827671,0.0
1111,11,E0_t_U,"t,U",1,0.025142672926005,0.0053471860730096,0.686572836100736,0.0252310735978573,9.388179126507944e-05,0.021167676333896,0.0118378064707579,1,-2.081756114990122,-2.0931338890321776,-0.1044363584986738,0.2614291931401633,-0.4600268723071568,2.8,0.6,10,0.006055133166558591,0.012595486566532532,0.019709523366517434
1112,12,E0_t_U,"t,U",2,0.025142672926005,0.0053471860730096,0.686572836100736,0.0252310735978573,9.388179126507944e-05,0.021167676333896,0.0118378064707579,2,-2.013168845067362,-2.015264519922277,-0.1044363584986738,0.2614291931401633,-0.4600268723071568,2.8,0.6,10,0.07464240308931824,0.09046485567643314,0.09516350710590471
1113,13,E0_t_U,"t,U",3,0.025142672926005,0.0053471860730096,0.686572836100736,0.0252310735978573,9.388179126507944e-05,0.021167676333896,0.0118378064707579,3,-1.971832812379056,-1.950845705869602,-0.1044363584986738,0.2614291931401633,-0.4600268723071568,2.8,0.6,10,0.11597843577762434,0.15488366972910805,0.15053450068198093
