,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,U,r,w0,state_cutoff
0,E0_U_ni_hop,"U,ni,hop",0.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,0.0,-2.103492858727168,-2.0742520811079617,0.09750146437013472,2.4,0.6,10
1,E0_U_ni_hop,"U,ni,hop",1.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,1.0,-2.100451841340057,-2.0803417949887146,0.09750146437013472,2.4,0.6,10
2,E0_U_ni_hop,"U,ni,hop",2.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,2.0,-2.024962511459562,-2.0156724938867523,0.09750146437013472,2.4,0.6,10
3,E0_U_ni_hop,"U,ni,hop",3.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,3.0,-2.0119594766045896,-2.023822965269056,0.09750146437013472,2.4,0.6,10
4,E0_U_ni_hop,"U,ni,hop",4.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,4.0,-1.9097428108403007,-1.902986489451514,0.09750146437013472,2.4,0.6,10
5,E0_U_ni_hop,"U,ni,hop",5.0,0.0066959762419536465,0.16083792757871213,0.7956824961072761,0.029240777619206515,0.0003857868678853327,2.001958927521081,0.016215853810022773,5.0,-1.9097386580065447,-1.9029864894515136,0.09750146437013472,2.4,0.6,10
6,E0_U_ni_hop,"U,ni,hop",0.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,0.0,-2.103492858727168,-2.075443438935956,0.09626717918532422,2.4,0.6,10
7,E0_U_ni_hop,"U,ni,hop",1.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,1.0,-2.100451841340057,-2.0813833288240655,0.09626717918532422,2.4,0.6,10
8,E0_U_ni_hop,"U,ni,hop",2.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,2.0,-2.024962511459562,-2.0164584932357417,0.09626717918532422,2.4,0.6,10
9,E0_U_ni_hop,"U,ni,hop",3.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,3.0,-2.0119594766045896,-2.0257209325625753,0.09626717918532422,2.4,0.6,10
10,E0_U_ni_hop,"U,ni,hop",4.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,4.0,-1.9097428108403007,-1.902644269420755,0.09626717918532422,2.4,0.6,10
11,E0_U_ni_hop,"U,ni,hop",5.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,5.0,-1.9097386580065447,-1.9026442694207537,0.09626717918532422,2.4,0.6,10
12,E0_U_ni_hop,"U,ni,hop",0.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,0.0,-2.103492858727168,-2.075443438935956,0.09626717918532422,2.4,0.6,10
13,E0_U_ni_hop,"U,ni,hop",1.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,1.0,-2.100451841340057,-2.0813833288240655,0.09626717918532422,2.4,0.6,10
14,E0_U_ni_hop,"U,ni,hop",2.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,2.0,-2.024962511459562,-2.0164584932357417,0.09626717918532422,2.4,0.6,10
15,E0_U_ni_hop,"U,ni,hop",3.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,3.0,-2.0119594766045896,-2.0257209325625753,0.09626717918532422,2.4,0.6,10
16,E0_U_ni_hop,"U,ni,hop",4.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,4.0,-1.9097428108403007,-1.902644269420755,0.09626717918532422,2.4,0.6,10
17,E0_U_ni_hop,"U,ni,hop",5.0,0.0012498509366220731,0.19608406995906802,0.5188809214776453,0.019068512515991287,0.0004544066781772316,1.9797094963574222,0.015878674146592678,5.0,-1.9097386580065447,-1.9026442694207537,0.09626717918532422,2.4,0.6,10
18,E0_U_ni_hop,"U,ni,hop",0.0,3.1408286817187347,1.3617434246947215,0.4382570114200923,0.016105639967811003,0.00034309595269366047,1.4448476166149322,0.01226185487841818,0.0,-2.103492858727168,-2.0889974428474174,0.12413481093754486,2.4,0.6,10
19,E0_U_ni_hop,"U,ni,hop",1.0,3.1408286817187347,1.3617434246947215,0.4382570114200923,0.016105639967811003,0.00034309595269366047,1.4448476166149322,0.01226185487841818,1.0,-2.100451841340057,-2.097218143634216,0.12413481093754486,2.4,0.6,10
