,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,t,U,E0,r,w0,state_cutoff
55,E0_t_U,"t,U",5,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,5,-1.935432356675357,-1.936381037548208,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
56,E0_t_U,"t,U",6,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,6,-1.8990160154432405,-1.8644957839540575,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
57,E0_t_U,"t,U",7,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,7,-1.7819836366485635,-1.776728735025506,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
58,E0_t_U,"t,U",8,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,8,-1.781980921580056,-1.7767287350255059,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
59,E0_t_U,"t,U",9,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,9,-1.776625491778766,-1.776728735025505,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
60,E0_t_U,"t,U",0,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,0,-2.05690906330163,-2.067880738990065,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
61,E0_t_U,"t,U",1,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,1,-2.04411556785187,-2.0473313526757826,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
62,E0_t_U,"t,U",2,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,2,-1.999253672326126,-1.9975379965611424,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
63,E0_t_U,"t,U",3,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,3,-1.984453679725536,-1.9822282882360078,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
64,E0_t_U,"t,U",4,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,4,-1.98445130645275,-1.9822282882360065,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
65,E0_t_U,"t,U",5,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,5,-1.935432356675357,-1.926971268203755,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
66,E0_t_U,"t,U",6,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,6,-1.8990160154432405,-1.8787331454441305,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
67,E0_t_U,"t,U",7,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,7,-1.7819836366485635,-1.7827667015435777,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
68,E0_t_U,"t,U",8,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,8,-1.781980921580056,-1.7827667015435782,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
69,E0_t_U,"t,U",9,0.00022905235299656488,7.63507843321883e-05,0.060491437903094976,0.002223018216743533,8.216546207037295e-05,0.01837869410100766,0.008157736154911206,9,-1.776625491778766,-1.782766701543577,-0.06809359605334438,0.28039175876686484,-0.4817428170509384,3.4,1.0,10
70,E0_t_U,"t,U",0,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,0,-2.05690906330163,-2.061242834885541,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
71,E0_t_U,"t,U",1,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,1,-2.04411556785187,-2.041077658184918,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
72,E0_t_U,"t,U",2,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,2,-1.999253672326126,-1.996249060793291,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
73,E0_t_U,"t,U",3,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,3,-1.984453679725536,-1.9846409150738955,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
74,E0_t_U,"t,U",4,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,4,-1.98445130645275,-1.9846409150738942,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
75,E0_t_U,"t,U",5,0.05523267956387643,0.01841089318795881,0.9393438271447554,0.03452023148918304,1.1595588043554839e-05,0.002211973331254065,0.01133519149180689,5,-1.935432356675357,-1.936381037548208,-0.06358212742107869,0.28681655736485934,-0.4840952593870519,3.4,1.0,10
