,r (Bohr),CV iteration,loss,Spectrum RMSE Train (eV),Spectrum RMSE Val (eV),RDMD trace (eV),DMD trace (eV),RDMD t_1 (eV),DMD t_1 (eV),RDMD doccp (eV),DMD doccp (eV),Spectrum RMSE Test natoms4_casscf (eV)
0,3.0,0,0.1749363204147743,1.1531626389621652,1.1531626389621652,-10.812847553257631,-14.43081750531727,-3.9741284212691723,-1.0040652870010591,3.424566638225001,3.005974715626443,1.1531626389621652
1,3.0,1,0.1547805994992239,1.0846979812017958,1.0846979812017958,-12.271300837039757,-13.971786543845921,3.1090467871421374,1.5452022257171985,9.258379797575484,10.92970329642453,1.0846979812017958
2,3.0,2,0.18386010085080756,1.182209150782347,1.182209150782347,-11.424131024021156,-11.575267429581787,3.7259801539814505,-0.05367158126184446,5.869699663675449,5.844177356418074,1.182209150782347
3,3.0,3,0.18386010085070512,1.1822091507820174,1.1822091507820174,-11.424131018425317,-13.563245089087907,3.725980078743649,-0.06314972623636184,5.86970046870867,5.205195622179518,1.1822091507820174
4,3.0,4,0.15478059949924938,1.084697981201885,1.084697981201885,-12.27130095306316,-14.87758936062434,-3.109046813352191,-2.6149323888437106,9.258379780513707,9.169046032039148,1.084697981201885
5,3.0,5,0.17493632041477408,1.1531626389621645,1.1531626389621645,-10.812847567232941,-11.128574466473355,-3.974128434080909,-1.1289780284567028,3.42456666419568,2.672567159083791,1.1531626389621645
6,3.0,6,0.17880840947377982,1.1658550002235861,1.1658550002235861,-11.831729005463469,-12.644927373263254,-3.475057907244207,-2.2277725009738223,7.500092186474905,7.426168300951778,1.1658550002235861
7,3.0,7,0.1547805994992232,1.0846979812017934,1.0846979812017934,-12.27130091599761,-10.063854780162428,3.109046737948873,2.607311552920488,9.258380111284142,8.399387576025168,1.0846979812017934
8,3.0,8,0.15478059949922296,1.0846979812017923,1.0846979812017923,-12.271300922014087,-13.801281778393054,-3.109046731701233,-3.672657371121775,9.25838007517578,11.119582708451277,1.0846979812017923
9,3.0,9,0.15478059949922418,1.0846979812017967,1.0846979812017967,-12.271300975850837,-14.147742496268433,3.1090467038954364,-0.2060622858181702,9.25838031119552,8.038522915754907,1.0846979812017967
10,3.0,10,0.154780599499223,1.0846979812017925,1.0846979812017925,-12.271300902955074,-13.627836450076249,-3.1090467174279195,-2.232605077962382,9.258379975816744,10.508731713147576,1.0846979812017925
11,3.0,11,0.18139805770801848,1.1742670803422224,1.1742670803422224,-11.67439311548401,-13.865065959001546,3.5811715113837774,1.0665801601502958,6.870748856113422,6.58103144848001,1.1742670803422224
12,3.0,12,0.17493632041477583,1.1531626389621703,1.1531626389621703,-10.81284764736559,-11.387172496085828,-3.9741284069065705,-3.068144329242706,3.4245669406646746,2.307249962314382,1.1531626389621703
13,3.0,13,0.15478059949922238,1.0846979812017905,1.0846979812017905,-12.27130090526248,-14.188675622737309,-3.1090467462508964,-1.7145343022380617,9.258380025842715,11.411979558329499,1.0846979812017905
14,3.0,14,0.1547805994992228,1.0846979812017918,1.0846979812017918,-12.271300904516918,-14.981103409251523,3.109046763074263,2.1826655912070203,9.25838004109657,11.404906486580154,1.0846979812017918
15,3.0,15,0.15478059949922307,1.084697981201793,1.084697981201793,-12.271300939454726,-13.185878713592682,3.10904674526928,0.28942775391984643,9.258380095313248,11.841408807626108,1.084697981201793
16,3.0,16,0.1547805994992256,1.0846979812018018,1.0846979812018018,-12.271300997453894,-14.797619057823628,-3.1090467013391265,-2.619857064241394,9.258380378054845,8.058417570929816,1.0846979812018018
17,3.0,17,0.17933864628823323,1.1675823284732247,1.1675823284732247,-10.964432838055732,-14.8597296469517,-3.9253811639434613,-0.6391451489235704,4.0309076481797135,4.134977353388194,1.1675823284732247
18,3.0,18,0.15478059949922301,1.0846979812017927,1.0846979812017927,-12.271300879367317,-11.957462439631596,3.1090467380974123,3.777066069297798,9.258379876048222,9.745916923265158,1.0846979812017927
19,3.0,19,0.15478059949922546,1.0846979812018012,1.0846979812018012,-12.271300995453087,-14.032472628770304,3.1090467182269133,0.39820880121763835,9.258380269004158,11.900965624560119,1.0846979812018012
